Image,IoU,Dice,Precision,Recall,Running Time,Threshold,Device
TCGA-AR-A1AS-01Z-00-DX1,0.6885,0.8155,0.7924,0.84,0.1547,percentile,GPU
TCGA-AY-A8YK-01A-01-TS1,0.643,0.7827,0.7718,0.7939,0.0981,percentile,GPU
TCGA-E2-A1B5-01Z-00-DX1,0.6128,0.76,0.6942,0.8394,0.1091,percentile,GPU
TCGA-RD-A8N9-01A-01-TS1,0.7886,0.8818,0.8633,0.9011,0.1386,percentile,GPU
