frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777836959.774254,111.616374,93.353216,86.380507,-1.110154,-1.106429,-1.507541,-1.814078,-1.933999,-2.167980,-0.102524,131.013925,110.636732,99.441009,-1.455857,-1.643967,-2.147648,-2.367551,-3.171764,-3.510609,0.141878,124.548075,104.875560,95.087508,-1.340623,-1.464787,-1.934279,-2.183060,-2.759176,-3.063066,0.241363
1,1777836959.832557,111.616374,93.353216,86.380507,-1.837694,-2.006743,-2.202840,-1.845392,-2.015984,-2.190895,-0.123049,131.013925,110.636732,99.441009,-2.422559,-3.344732,-3.601999,-2.417087,-3.341298,-3.592706,0.130966,124.548075,104.875560,95.087508,-2.227604,-2.898735,-3.135613,-2.226522,-2.899527,-3.125435,0.226140
2,1777836959.885462,110.197732,92.357089,86.299811,-2.240940,-2.566333,-2.526784,-1.937077,-2.246185,-2.256534,-0.180752,130.480154,110.172588,98.795175,-2.912971,-4.356916,-4.348669,-2.547474,-3.804418,-3.811232,0.098708,123.719346,104.234088,94.630054,-2.688961,-3.760055,-3.741374,-2.344009,-3.285007,-3.292999,0.180756
3,1777836959.936658,110.197732,92.357089,86.299811,-2.251288,-2.762315,-2.495066,-2.042337,-2.543262,-2.319827,-0.264108,130.480154,110.172588,98.795175,-2.943570,-4.770662,-4.425127,-2.680793,-4.388814,-4.041797,0.046531,123.719346,104.234088,94.630054,-2.712810,-4.101213,-3.781773,-2.467974,-3.773630,-3.467807,0.106159
4,1777836959.991631,113.686200,94.760113,88.988091,-1.970176,-2.685061,-2.214267,-2.039157,-2.734323,-2.263277,-0.354273,132.806250,111.808772,102.074671,-2.625224,-4.737275,-3.997053,-2.657616,-4.764247,-4.031108,-0.023110,126.432900,106.125886,97.712478,-2.406875,-4.053203,-3.402791,-2.451463,-4.087606,-3.441831,0.004374
5,1777836960.055489,112.693762,93.850284,88.267675,-1.630780,-2.501843,-1.853382,-1.724553,-2.553186,-1.893730,-0.427227,132.998904,111.114583,102.022478,-2.166635,-4.437243,-3.351163,-2.226891,-4.442352,-3.401592,-0.106176,126.230523,105.359817,97.437544,-1.988017,-3.792110,-2.851902,-2.059445,-3.812630,-2.898971,-0.120122
6,1777836960.102562,112.693762,93.850284,88.267675,-1.294635,-2.246163,-1.446810,-1.302372,-2.241353,-1.438367,-0.462870,132.998904,111.114583,102.022478,-1.686102,-3.942362,-2.633684,-1.716719,-3.943035,-2.668286,-0.194031,126.230523,105.359817,97.437544,-1.555613,-3.376963,-2.238059,-1.578603,-3.375808,-2.258313,-0.261404
7,1777836960.169444,111.906726,94.049610,89.270531,-0.894872,-1.889903,-0.982838,-0.813615,-1.845928,-0.958126,-0.414121,133.550021,113.305768,104.195828,-1.217248,-3.343119,-1.931730,-1.217981,-3.397242,-1.991753,-0.275144,126.335590,106.887049,99.220729,-1.109789,-2.858714,-1.615433,-1.083193,-2.880137,-1.647211,-0.405408
8,1777836960.229478,111.906726,94.049610,89.270531,-0.364610,-1.431425,-0.502485,-0.285365,-1.404823,-0.499797,-0.278942,133.550021,113.305768,104.195828,-0.794199,-2.807783,-1.392524,-0.791824,-2.893560,-1.466881,-0.334747,126.335590,106.887049,99.220729,-0.651002,-2.348997,-1.095845,-0.623004,-2.397314,-1.144520,-0.527564
9,1777836960.284124,114.343141,96.042916,90.994003,0.250930,-0.922495,-0.065929,0.253971,-0.950837,-0.098486,-0.100448,134.456471,113.831630,104.520221,-0.453795,-2.419919,-1.079176,-0.472250,-2.473270,-1.122522,-0.357538,127.752028,107.902059,100.011482,-0.218887,-1.920778,-0.741427,-0.230177,-1.965793,-0.781176,-0.594795
10,1777836960.333485,115.084990,96.433723,91.210916,0.765590,-0.483934,0.238115,0.717413,-0.530981,0.200015,0.068407,135.002443,113.233289,104.245725,-0.256946,-2.158475,-0.962912,-0.295621,-2.151334,-0.965323,-0.332517,128.363292,107.633434,99.900789,0.083899,-1.600295,-0.562570,0.042057,-1.611216,-0.576877,-0.576968
11,1777836960.385075,115.084990,96.433723,91.210916,1.054628,-0.171013,0.378806,0.976278,-0.193823,0.351818,0.186670,135.002443,113.233289,104.245725,-0.244397,-1.941663,-0.980349,-0.296407,-1.911650,-0.978803,-0.257412,128.363292,107.633434,99.900789,0.188611,-1.351446,-0.527297,0.127822,-1.339041,-0.535263,-0.461185
12,1777836960.444500,116.352632,97.004873,91.819883,1.062354,0.032530,0.375690,0.941383,0.024106,0.338223,0.245191,135.305373,114.648246,105.182127,-0.408876,-1.724070,-1.088983,-0.473480,-1.722011,-1.115830,-0.140471,128.987792,108.767122,100.728046,0.081534,-1.138537,-0.600759,-0.001859,-1.139972,-0.631146,-0.259819
13,1777836960.485803,116.352632,97.004873,91.819883,0.715025,0.140899,0.235831,0.613909,0.115795,0.187745,0.259136,135.305373,114.648246,105.182127,-0.727638,-1.518198,-1.279830,-0.769395,-1.550565,-1.314249,0.001125,128.987792,108.767122,100.728046,-0.246751,-0.965165,-0.774610,-0.308294,-0.995112,-0.813585,-0.009467
14,1777836960.527849,113.530624,98.118904,91.891304,0.087098,0.151501,-0.013303,0.078545,0.110762,-0.025219,0.277149,133.909759,116.228947,105.126645,-1.110186,-1.329925,-1.498557,-1.081225,-1.362369,-1.502546,0.147616,127.116714,110.192266,100.714865,-0.711091,-0.836116,-1.003472,-0.694635,-0.871325,-1.010103,0.239835
15,1777836960.581418,112.782609,97.228544,90.464083,-0.571851,0.075922,-0.272866,-0.517240,0.062987,-0.216483,0.370200,133.518860,115.663706,104.979057,-1.384712,-1.139681,-1.640449,-1.297506,-1.119155,-1.598125,0.263673,126.606776,109.518652,100.140732,-1.113758,-0.734480,-1.184588,-1.037417,-0.725108,-1.137577,0.409567
16,1777836960.646427,112.782609,97.228544,90.464083,-1.085746,-0.001539,-0.390313,-0.990741,0.045380,-0.307766,0.533825,133.518860,115.663706,104.979057,-1.410417,-0.842218,-1.589138,-1.321143,-0.769058,-1.509408,0.302190,126.606776,109.518652,100.140732,-1.302193,-0.561991,-1.189529,-1.211009,-0.497579,-1.108861,0.416752
17,1777836960.704493,111.391871,97.040454,91.759168,-1.356172,0.017585,-0.309558,-1.204017,0.117588,-0.247182,0.666396,135.288925,117.748684,106.457237,-1.170398,-0.365366,-1.282033,-1.101803,-0.278700,-1.183036,0.251825,127.323241,110.845941,101.557881,-1.232323,-0.237716,-0.957875,-1.135874,-0.146604,-0.871085,0.259151
