frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
17,1777837101.543343,152.556848,115.369078,108.475237,-2.291314,-0.922249,-0.557923,-2.280492,-0.917103,-0.527936,-0.014702,168.810123,132.384568,123.663333,-0.790061,-2.141663,-1.831024,-0.805043,-2.099523,-1.786261,-0.118165,163.392365,126.712738,118.600635,-1.290478,-1.735192,-1.406657,-1.296859,-1.705383,-1.366819,-0.109427
18,1777837101.607087,152.556848,115.369078,108.475237,-2.684218,-1.169197,-0.769065,-2.687284,-1.176211,-0.775816,-0.088287,168.810123,132.384568,123.663333,-0.812587,-1.233073,-1.016189,-0.818731,-1.166663,-0.936045,-0.131261,163.392365,126.712738,118.600635,-1.436464,-1.211781,-0.933814,-1.441582,-1.169846,-0.882636,-0.103484
19,1777837101.665179,152.244186,114.711456,109.293282,-3.080106,-1.467846,-1.022889,-3.156501,-1.522574,-1.101193,-0.128747,167.911235,132.756914,123.609630,-0.799516,-0.036122,0.134135,-0.791073,0.052626,0.248873,-0.121993,162.688885,126.741761,118.837514,-1.559713,-0.513364,-0.251540,-1.579549,-0.472441,-0.201149,-0.151356
20,1777837101.733792,152.918113,115.522029,108.791277,-3.534020,-1.837036,-1.391677,-3.694834,-1.958293,-1.510191,-0.150806,169.131820,135.760326,126.725778,-0.733293,1.346724,1.533652,-0.750046,1.411750,1.627594,-0.093547,163.727251,129.014227,120.747611,-1.666869,0.285471,0.558542,-1.731642,0.288402,0.581666,-0.235821
21,1777837101.810390,152.918113,115.522029,108.791277,-4.112659,-2.335428,-1.890212,-4.205261,-2.405468,-1.936256,-0.158237,169.131820,135.760326,126.725778,-0.667642,2.714310,2.975181,-0.702233,2.697426,2.970516,-0.051977,163.727251,129.014227,120.747611,-1.815981,1.031064,1.353383,-1.869909,0.996461,1.334926,-0.333787
22,1777837101.866717,147.555283,110.918100,104.905610,-4.650534,-2.835764,-2.370240,-4.524204,-2.735101,-2.266437,-0.154501,168.805711,140.237296,131.779021,-0.628042,3.817228,4.168672,-0.634049,3.669511,4.003800,-0.005437,161.722235,130.464231,122.821217,-1.968873,1.599564,1.989035,-1.930767,1.534640,1.913721,-0.422124
23,1777837101.941609,148.045248,111.520041,105.384917,-4.756951,-3.023033,-2.567365,-4.510898,-2.837288,-2.402083,-0.142569,168.460685,140.120779,131.684534,-0.567211,4.346239,4.744651,-0.537622,4.133254,4.498996,0.036702,161.655539,130.587200,122.917995,-1.963791,1.889815,2.307312,-1.862047,1.809740,2.198636,-0.485428
24,1777837102.011045,148.045248,111.520041,105.384917,-4.228978,-2.756383,-2.363865,-4.093978,-2.657667,-2.294306,-0.124548,168.460685,140.120779,131.684534,-0.433367,4.145061,4.505087,-0.413051,3.997801,4.339016,0.071766,161.655539,130.587200,122.917995,-1.698571,1.844579,2.215436,-1.640026,1.779312,2.127908,-0.506711
25,1777837102.072189,153.472868,114.978682,108.955426,-3.214754,-2.152071,-1.883598,-3.272607,-2.194583,-1.945473,-0.102021,169.412593,136.814321,127.593457,-0.230558,3.320462,3.563838,-0.257409,3.278194,3.519893,0.105771,164.099351,129.535775,121.380780,-1.225290,1.496285,1.748026,-1.262475,1.453935,1.698104,-0.468775
26,1777837102.130012,153.874462,115.440568,108.457795,-2.036468,-1.434650,-1.333948,-2.141679,-1.515094,-1.408927,-0.077132,169.361852,135.240617,126.126790,-0.006086,2.137333,2.217480,-0.062207,2.114240,2.179452,0.140366,164.199388,128.640601,120.237125,-0.682880,0.946672,1.033670,-0.755364,0.904462,0.983326,-0.364913
