frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777867786.770183,205.133791,160.692636,147.405399,2.106016,1.638103,1.387269,2.771003,2.032264,1.654642,-0.222533,178.856618,142.234069,134.504902,2.780898,2.605108,2.286094,3.871557,3.613498,3.256429,-0.023487,187.615675,148.386924,138.805068,2.555937,2.282773,1.986486,3.504705,3.086420,2.722500,-0.042343
1,1777867786.827456,204.561449,160.305944,146.937248,2.927989,2.147189,1.750556,2.908805,2.133628,1.738006,-0.228665,178.665577,142.068491,133.953568,4.049765,3.800810,3.437035,4.032432,3.789968,3.425925,-0.024493,187.297535,148.147642,138.281461,3.675840,3.249603,2.874875,3.657889,3.237855,2.863286,-0.043793
2,1777867786.874079,202.206127,158.252451,145.074510,3.443740,2.487368,2.004873,3.279123,2.408341,1.966081,-0.243782,176.874344,139.896023,132.209196,4.813105,4.564639,4.169753,4.469545,4.269347,3.887588,-0.027027,185.318272,146.014832,136.497634,4.356650,3.872215,3.448126,4.072737,3.649012,3.247086,-0.047603
3,1777867786.918188,201.708501,157.950746,144.910253,3.863948,2.815716,2.286161,3.769235,2.779728,2.279136,-0.258192,176.187636,139.633306,131.938589,5.253350,5.085469,4.668508,5.044904,4.906932,4.501088,-0.029602,184.694591,145.739119,136.262477,4.790216,4.328884,3.874393,4.619681,4.197864,3.760437,-0.052049
4,1777867786.957745,203.753019,159.480701,146.069145,4.218533,3.141577,2.597120,4.205753,3.131858,2.588753,-0.256220,176.599946,140.385621,132.711057,5.467475,5.426328,4.995316,5.502840,5.448651,5.017136,-0.029669,185.650970,146.750648,137.163753,5.051161,4.664744,4.195917,5.070478,4.676387,4.207675,-0.053918
5,1777867787.002133,203.183756,159.241771,146.313758,4.358037,3.324761,2.801405,4.315882,3.285176,2.758842,-0.216968,176.398829,140.456699,133.225626,5.426183,5.503572,5.066689,5.423395,5.481185,5.032736,-0.023609,185.327138,146.718390,137.588337,5.070135,4.777302,4.311594,5.054224,4.749182,4.274771,-0.048104
6,1777867787.050175,201.934407,158.221643,145.154156,4.229101,3.295469,2.815321,4.261573,3.317589,2.828919,-0.140052,175.382625,139.102124,131.942538,5.102437,5.265878,4.816387,5.091282,5.243953,4.779950,-0.011872,184.233219,145.475297,136.346411,4.811325,4.609075,4.149365,4.814712,4.601832,4.129606,-0.038566
7,1777867787.082999,199.920263,156.435038,143.495544,3.923872,3.112288,2.691036,3.958453,3.141997,2.716799,0.001295,174.747893,138.566386,131.403846,4.505228,4.728632,4.262217,4.472421,4.692174,4.225732,0.009599,183.138683,144.522603,135.434412,4.311442,4.189851,3.738490,4.301098,4.175449,3.722754,-0.023564
8,1777867787.139214,202.004925,158.128987,145.265947,3.442484,2.773463,2.428277,3.347466,2.692110,2.359904,0.220795,173.798077,137.863014,130.670443,3.628429,3.877055,3.414617,3.554761,3.813340,3.371286,0.044882,183.200360,144.618338,135.535611,3.566447,3.509191,3.085837,3.485663,3.439596,3.034159,-0.001314
9,1777867787.177050,200.724367,157.397585,144.119346,2.617720,2.125639,1.889302,2.447868,1.970091,1.755722,0.459853,172.358115,135.416939,128.247549,2.468412,2.716798,2.309825,2.388788,2.651128,2.268778,0.089331,181.813533,142.743821,133.538148,2.518182,2.519745,2.169650,2.408482,2.424115,2.097759,0.024665
10,1777867787.209365,198.200490,155.090120,142.580329,1.405772,1.109570,1.026674,1.322927,1.020722,0.940986,0.635392,169.618944,133.753952,127.304564,1.096360,1.337092,1.041839,1.078217,1.300312,1.012835,0.132714,179.146126,140.866008,132.396486,1.199497,1.261251,1.036784,1.159787,1.207115,0.988885,0.048013
11,1777867787.224353,193.284884,150.858312,138.801464,0.048726,-0.071547,0.000290,0.076809,-0.065703,-0.008550,0.697659,166.495802,130.657407,124.538642,-0.304357,-0.128432,-0.287308,-0.244090,-0.105533,-0.273107,0.166025,175.425496,137.391042,129.292916,-0.186662,-0.109470,-0.191442,-0.137124,-0.092256,-0.184921,0.063880
12,1777867787.242527,192.371876,149.985655,137.655075,-1.145079,-1.144123,-0.952823,-1.091510,-1.103817,-0.925842,0.630356,164.303774,127.839748,122.237358,-1.516874,-1.488908,-1.520664,-1.428330,-1.404934,-1.446249,0.182524,173.659808,135.221717,127.376597,-1.392942,-1.373980,-1.331383,-1.316057,-1.304562,-1.272780,0.069359
13,1777867787.260902,190.260347,147.700045,135.860481,-2.029402,-1.957462,-1.682302,-1.917680,-1.842449,-1.576696,0.450507,163.409230,126.135773,120.637175,-2.426341,-2.564053,-2.495155,-2.344021,-2.453597,-2.388672,0.178420,172.359602,133.323863,125.711610,-2.294028,-2.361856,-2.224204,-2.201907,-2.249881,-2.118013,0.063758
14,1777867787.287138,186.170973,143.982989,131.960594,-2.445583,-2.328298,-2.010129,-2.227801,-2.109449,-1.799601,0.209403,161.646667,124.946296,119.698642,-3.010471,-3.278734,-3.134363,-2.941233,-3.189927,-3.058598,0.153658,169.821436,131.291860,123.785959,-2.822175,-2.961922,-2.759619,-2.703422,-2.829767,-2.638932,0.048920
15,1777867787.345893,186.398794,144.486434,132.500861,-2.204329,-2.070310,-1.743079,-2.034943,-1.907203,-1.590169,-0.007621,161.091605,124.041728,119.545679,-3.266554,-3.636439,-3.453854,-3.258203,-3.634991,-3.475372,0.113384,169.527335,130.856630,123.864073,-2.912479,-3.114396,-2.883596,-2.850450,-3.059062,-2.846971,0.029829
16,1777867787.422355,187.943802,146.160537,134.256818,-1.401651,-1.289829,-0.975103,-1.455262,-1.343309,-1.035152,-0.141598,162.000472,125.445100,120.693034,-3.287162,-3.748439,-3.581932,-3.368153,-3.848109,-3.684554,0.061946,170.648249,132.350246,125.214296,-2.658658,-2.928902,-2.712989,-2.730523,-3.013175,-2.801420,0.010413
17,1777867787.473211,191.656162,149.470767,137.324495,-0.458534,-0.385226,-0.093364,-0.630282,-0.556778,-0.252202,-0.208002,161.204403,124.273585,119.240252,-3.235020,-3.790120,-3.655970,-3.327823,-3.887459,-3.734875,-0.004685,171.354989,132.672646,125.268333,-2.309525,-2.655155,-2.468435,-2.428643,-2.777232,-2.573984,-0.016107
