frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777732244.100877,129.180513,103.029710,92.091524,0.379270,-0.119761,0.083940,1.150535,-0.031016,0.291467,0.032698,143.969267,126.189295,115.496389,0.388657,-0.133345,-0.016726,1.063380,-0.132728,0.176337,0.094379,139.039682,118.469434,107.694767,0.385528,-0.128817,0.016829,1.092431,-0.098824,0.214714,0.135481
1,1777732244.132763,129.180513,103.029710,92.091524,1.292679,-0.003110,0.343951,1.285640,-0.007788,0.338394,0.032929,143.969267,126.189295,115.496389,1.195910,-0.104116,0.236035,1.194936,-0.105463,0.239059,0.094088,139.039682,118.469434,107.694767,1.228166,-0.070447,0.272007,1.225171,-0.072905,0.272171,0.136649
2,1777732244.160956,129.360619,103.373670,91.681515,1.954806,0.110976,0.538487,1.677112,0.070745,0.472805,0.033464,143.747067,125.821277,115.100603,1.793616,-0.039094,0.461367,1.566494,-0.026464,0.412091,0.093021,138.951584,118.338742,107.294240,1.847346,0.010929,0.487073,1.603367,0.005939,0.432329,0.139369
3,1777732244.179896,129.360619,103.373670,91.681515,2.412410,0.213469,0.705558,2.248285,0.206823,0.670854,0.033745,143.747067,125.821277,115.100603,2.240746,0.083266,0.695565,2.095936,0.098201,0.659137,0.090372,138.951584,118.338742,107.294240,2.297967,0.126667,0.698896,2.146719,0.134408,0.663043,0.140920
4,1777732244.223390,127.277503,101.868038,91.738683,2.767501,0.342768,0.869711,2.823335,0.376507,0.883118,0.032594,143.343125,126.446809,116.215386,2.597411,0.257866,0.934129,2.622921,0.259604,0.927560,0.083947,137.987918,118.253885,108.056485,2.654108,0.286166,0.912657,2.689726,0.298572,0.912746,0.135454
5,1777732244.295082,129.806674,103.789496,92.283582,3.108352,0.534038,1.026857,3.123253,0.538152,1.026824,0.027909,144.343123,126.624779,115.796983,2.896162,0.448026,1.141738,2.897909,0.441512,1.138049,0.069035,139.497640,119.013018,107.959183,2.966892,0.476697,1.103444,2.973024,0.473725,1.100974,0.112260
6,1777732244.339303,129.806674,103.789496,92.283582,3.394428,0.731646,1.157227,3.369184,0.705664,1.152697,0.022292,144.343123,126.624779,115.796983,3.124876,0.627278,1.319665,3.111038,0.626044,1.333069,0.052874,139.497640,119.013018,107.959183,3.214727,0.662068,1.265519,3.197087,0.652584,1.272945,0.085673
7,1777732244.367301,129.806674,103.789496,92.283582,3.586130,0.888506,1.253247,3.582169,0.873034,1.248000,0.016226,144.343123,126.624779,115.796983,3.277351,0.788376,1.483433,3.278146,0.786872,1.494850,0.036836,139.497640,119.013018,107.959183,3.380277,0.821753,1.406704,3.379487,0.815593,1.412567,0.058764
8,1777732244.409424,128.861591,103.268587,92.428944,3.722483,1.018493,1.314000,3.761694,1.029842,1.304403,0.010000,143.587806,127.005637,116.444744,3.382405,0.916876,1.616462,3.408492,0.905187,1.607819,0.021589,138.679068,119.093287,108.439477,3.495764,0.950748,1.515641,3.526226,0.946739,1.506680,0.033669
9,1777732244.473395,128.861591,103.268587,92.428944,3.854497,1.146114,1.330858,3.892877,1.165523,1.323343,0.003771,143.587806,127.005637,116.444744,3.476956,0.986261,1.680571,3.506289,0.971356,1.658856,0.007278,138.679068,119.093287,108.439477,3.602803,1.039545,1.564000,3.635152,1.036078,1.547018,0.011765
10,1777732244.505888,129.984089,103.422698,91.870037,3.966045,1.274717,1.309303,3.961930,1.276872,1.312228,-0.002408,143.963322,126.564862,116.280724,3.556298,0.988967,1.653851,3.569783,0.979714,1.633533,-0.006367,139.303577,118.850807,108.143828,3.692880,1.084217,1.539002,3.700499,1.078766,1.526431,-0.006254
11,1777732244.561262,129.750493,103.715995,91.691355,3.979716,1.378394,1.273344,3.951265,1.362755,1.282493,-0.008546,143.774293,126.355113,115.708796,3.578712,0.941681,1.545611,3.584248,0.936536,1.534878,-0.019865,139.099693,118.808740,107.702982,3.712380,1.087252,1.454855,3.706587,1.078609,1.450750,-0.020237
12,1777732244.618604,129.750493,103.715995,91.691355,3.840142,1.423383,1.232580,3.834517,1.418621,1.246794,-0.014674,143.774293,126.355113,115.708796,3.504819,0.852489,1.371167,3.517473,0.861671,1.388302,-0.033845,139.099693,118.808740,107.702982,3.616593,1.042787,1.324971,3.623155,1.047321,1.341133,-0.030385
13,1777732244.646779,128.172909,102.735990,91.162912,3.543705,1.408715,1.186531,3.563390,1.427808,1.204844,-0.020816,143.405152,125.262719,114.209276,3.298113,0.738195,1.161077,3.302689,0.767692,1.206968,-0.050096,138.327737,117.753809,106.527155,3.379977,0.961702,1.169561,3.389589,0.987731,1.206260,-0.037279
14,1777732244.710691,128.172909,102.735990,91.162912,3.110255,1.362098,1.139182,3.084077,1.365895,1.138321,-0.027348,143.405152,125.262719,114.209276,2.916357,0.635639,0.965362,2.857024,0.649049,0.977436,-0.068528,138.327737,117.753809,106.527155,2.980990,0.877792,1.023302,2.932709,0.887998,1.031064,-0.040128
15,1777732244.734907,128.555337,103.430161,91.659533,2.498789,1.263535,1.063701,2.387641,1.221755,1.029535,-0.033460,143.798984,126.132423,115.696253,2.289004,0.528141,0.752514,2.147111,0.496570,0.688717,-0.083215,138.717768,118.565002,107.684013,2.358932,0.773273,0.856243,2.227288,0.738298,0.802323,-0.036283
16,1777732244.752265,128.555337,103.430161,91.659533,1.609963,1.045930,0.903186,1.518010,1.002079,0.874103,-0.035969,143.798984,126.132423,115.696253,1.320144,0.346243,0.410905,1.212641,0.308704,0.348472,-0.087653,138.717768,118.565002,107.684013,1.416750,0.579472,0.574999,1.314431,0.539829,0.523683,-0.024982
17,1777732244.772846,121.760490,100.935793,89.632498,0.525638,0.722022,0.663486,0.553004,0.722448,0.671487,-0.032451,136.157034,124.303509,112.182042,0.119332,0.089530,-0.042481,0.154963,0.088147,-0.026700,-0.079300,131.358186,116.514270,104.665527,0.254767,0.300360,0.192841,0.287643,0.299581,0.206029,-0.008282
18,1777732244.789186,121.760490,100.935793,89.632498,-0.489522,0.384930,0.413678,-0.405884,0.407513,0.423855,-0.023008,136.157034,124.303509,112.182042,-0.997112,-0.172678,-0.461129,-0.884530,-0.156376,-0.412462,-0.058786,131.358186,116.514270,104.665527,-0.827916,0.013192,-0.169527,-0.724981,0.031587,-0.133689,0.010750
19,1777732244.816425,119.638683,99.933882,89.363512,-1.294561,0.086931,0.175320,-1.234362,0.103370,0.157674,-0.009318,133.895522,123.780406,111.976421,-1.853572,-0.404876,-0.784240,-1.759270,-0.398129,-0.765277,-0.029471,129.143243,115.831565,104.438785,-1.667235,-0.240940,-0.464387,-1.584301,-0.230963,-0.457627,0.028735
20,1777732244.869551,119.638683,99.933882,89.363512,-1.871423,-0.160388,-0.077073,-1.820070,-0.136384,-0.081389,0.005855,133.895522,123.780406,111.976421,-2.414690,-0.605156,-1.036459,-2.360763,-0.600889,-1.037638,0.002966,129.143243,115.831565,104.438785,-2.233601,-0.456900,-0.716663,-2.180532,-0.446054,-0.718888,0.042540
21,1777732244.937641,117.689712,98.611111,86.923457,-2.206514,-0.338601,-0.313479,-2.137063,-0.293930,-0.265954,0.019139,133.547078,122.867101,111.039933,-2.693679,-0.760726,-1.222189,-2.671129,-0.746630,-1.216866,0.031162,128.261290,114.781771,103.001108,-2.531290,-0.620018,-0.919286,-2.493107,-0.595730,-0.899895,0.050012
22,1777732244.971905,117.689712,98.611111,86.923457,-2.288812,-0.421899,-0.448069,-2.246934,-0.393038,-0.396080,0.027240,133.547078,122.867101,111.039933,-2.749923,-0.847430,-1.324546,-2.750993,-0.837002,-1.320137,0.051014,128.261290,114.781771,103.001108,-2.596219,-0.705586,-1.032387,-2.582973,-0.689014,-1.012118,0.051934
23,1777732245.003499,119.576598,99.839623,88.002816,-2.203102,-0.450883,-0.486569,-2.239451,-0.474732,-0.486335,0.029319,133.765243,123.014211,110.985075,-2.652007,-0.867008,-1.346511,-2.672680,-0.872734,-1.353944,0.064353,129.035695,115.289348,103.324322,-2.502372,-0.728300,-1.059864,-2.528270,-0.740067,-1.064741,0.051267
24,1777732245.032812,119.576598,99.839623,88.002816,-2.127841,-0.531371,-0.525636,-2.206667,-0.584072,-0.563487,0.027493,133.765243,123.014211,110.985075,-2.476034,-0.846729,-1.310480,-2.498372,-0.851289,-1.310950,0.073007,129.035695,115.289348,103.324322,-2.359970,-0.741610,-1.048866,-2.401137,-0.762217,-1.061795,0.049340
25,1777732245.063965,118.453816,98.913968,87.592509,-2.155516,-0.710952,-0.621752,-2.227058,-0.758076,-0.665750,0.023554,133.145840,122.357891,110.156161,-2.268234,-0.790777,-1.215102,-2.279352,-0.774521,-1.189137,0.076708,128.248499,114.543250,102.634944,-2.230661,-0.764169,-1.017318,-2.261921,-0.769039,-1.014675,0.046043
