frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777724742.411107,153.390595,140.025219,127.298611,-0.042165,-0.034751,-0.084485,-0.068065,-0.012175,-0.069945,0.009680,137.804937,137.470641,124.264714,-0.167660,0.055693,0.024171,-0.202205,0.036010,0.059457,0.006507,143.000156,138.322167,125.276013,-0.125828,0.025545,-0.012048,-0.157491,0.019948,0.016323,-0.059141
1,1777724742.456572,152.855767,139.963615,126.208918,-0.062453,-0.006967,-0.057265,-0.065919,-0.005072,-0.043653,0.014473,137.678218,137.749450,124.821713,-0.205557,0.021963,0.043781,-0.191458,0.021790,0.059859,0.007650,142.737401,138.487505,125.284115,-0.157856,0.012320,0.010099,-0.149611,0.012836,0.025355,-0.068168
2,1777724742.484829,152.855767,139.963615,126.208918,-0.072288,0.019128,0.007030,-0.058364,0.014116,0.022893,0.026588,137.678218,137.749450,124.821713,-0.187726,-0.018449,0.069497,-0.166614,-0.019936,0.050473,0.011392,142.737401,138.487505,125.284115,-0.149247,-0.005924,0.048675,-0.130530,-0.008585,0.041280,-0.091957
3,1777724742.517296,152.990553,140.097166,127.249908,-0.054508,0.045214,0.118734,-0.042582,0.039568,0.105747,0.041589,138.329085,137.614930,125.229014,-0.133504,-0.076743,0.062653,-0.138624,-0.082730,0.018342,0.018704,143.216241,138.442342,125.902645,-0.107172,-0.036090,0.081347,-0.106610,-0.041964,0.047477,-0.121495
4,1777724742.543136,152.990553,140.097166,127.249908,-0.016057,0.065896,0.210975,-0.013529,0.063345,0.188766,0.055493,138.329085,137.614930,125.229014,-0.089611,-0.148766,-0.009646,-0.107620,-0.153079,-0.035168,0.030675,143.216241,138.442342,125.902645,-0.065093,-0.077212,0.063895,-0.076257,-0.080938,0.039477,-0.145087
5,1777724742.570511,153.186358,140.148203,127.045884,0.033739,0.078546,0.260886,0.031660,0.075242,0.254698,0.063154,137.992817,137.178451,123.972817,-0.066409,-0.218687,-0.119676,-0.064515,-0.208500,-0.094603,0.047405,143.057330,138.168368,124.997173,-0.033026,-0.119609,0.007178,-0.032457,-0.113919,0.021830,-0.141638
6,1777724742.593333,153.186358,140.148203,127.045884,0.083171,0.083241,0.289620,0.080938,0.080157,0.293060,0.064308,137.992817,137.178451,123.972817,-0.037918,-0.258945,-0.179385,-0.029379,-0.239693,-0.131886,0.059042,143.057330,138.168368,124.997173,0.002445,-0.144883,-0.023050,0.007393,-0.133076,0.009763,-0.103211
7,1777724742.637920,153.262790,140.117286,127.234450,0.124549,0.082645,0.303129,0.122998,0.081516,0.300167,0.057869,138.277887,137.222254,124.367254,0.000058,-0.258369,-0.160041,-0.002971,-0.242082,-0.131931,0.056259,143.272855,138.187264,125.322986,0.041555,-0.144698,-0.005651,0.039018,-0.134216,0.012102,-0.031650
8,1777724742.669811,153.262790,140.117286,127.234450,0.154074,0.081901,0.291793,0.148918,0.086563,0.287244,0.045337,138.277887,137.222254,124.367254,0.029606,-0.222223,-0.092639,0.019963,-0.226655,-0.102737,0.040650,143.272855,138.187264,125.322986,0.071095,-0.120848,0.035505,0.062948,-0.122249,0.027257,0.054099
9,1777724742.700279,153.374065,140.010305,127.032021,0.166166,0.088281,0.258474,0.155880,0.099095,0.261485,0.028114,138.157606,137.803028,125.136127,0.047474,-0.174068,-0.021747,0.044173,-0.203335,-0.063614,0.032615,143.229759,138.538787,125.768091,0.087038,-0.086618,0.071660,0.081409,-0.102525,0.044752,0.132347
10,1777724742.728249,153.374065,140.010305,127.032021,0.153423,0.110976,0.218511,0.148244,0.117056,0.224405,0.006861,138.157606,137.803028,125.136127,0.064960,-0.155344,-0.004697,0.073894,-0.173223,-0.030953,0.047227,143.229759,138.538787,125.768091,0.094448,-0.066571,0.069706,0.098677,-0.076463,0.054166,0.183689
11,1777724742.765926,153.025396,140.335910,127.072138,0.124341,0.142695,0.176984,0.132850,0.135907,0.177366,-0.017370,138.027606,136.985775,124.095423,0.093380,-0.155681,-0.032748,0.111292,-0.133985,-0.010047,0.081484,143.026869,138.102486,125.087661,0.103700,-0.056222,0.037163,0.118478,-0.044021,0.052424,0.194176
12,1777724742.787512,153.025396,140.335910,127.072138,0.103168,0.159715,0.128843,0.115948,0.150629,0.121768,-0.043371,138.027606,136.985775,124.095423,0.143623,-0.113330,-0.031453,0.152627,-0.083761,0.001592,0.121244,143.026869,138.102486,125.087661,0.130138,-0.022315,0.021979,0.140400,-0.005631,0.041651,0.158741
13,1777724742.845123,153.167464,140.151638,127.004907,0.095586,0.155868,0.071797,0.100995,0.155901,0.062640,-0.067177,138.578944,137.715493,124.842042,0.201051,-0.021701,0.009441,0.189474,-0.020546,0.007853,0.144533,143.441784,138.527541,125.562997,0.165896,0.037489,0.030226,0.159981,0.038270,0.026115,0.089780
14,1777724742.858901,153.167464,140.151638,127.004907,0.088700,0.142593,0.006720,0.086652,0.147385,0.009804,-0.081327,138.578944,137.715493,124.842042,0.225570,0.070145,0.035688,0.211784,0.054429,0.009828,0.125372,143.441784,138.527541,125.562997,0.179947,0.094294,0.026032,0.170073,0.085415,0.009820,0.006555
15,1777724742.926937,153.245123,140.194332,126.531591,0.071211,0.122425,-0.051345,0.065170,0.123511,-0.029341,-0.081005,138.301268,137.723099,124.706479,0.206100,0.138985,0.024779,0.205620,0.129033,0.002565,0.040000,143.282553,138.546843,125.314850,0.161137,0.133465,-0.000596,0.158803,0.127192,-0.008071,-0.078606
16,1777724742.970646,153.245123,140.194332,126.531591,0.033790,0.089018,-0.073160,0.026092,0.084332,-0.054696,-0.066279,138.301268,137.723099,124.706479,0.160728,0.187448,-0.013595,0.156900,0.186528,-0.016888,-0.126153,143.282553,138.546843,125.314850,0.118415,0.154638,-0.033450,0.113297,0.152463,-0.029490,-0.148186
17,1777724742.986088,153.165010,140.173966,127.092995,-0.027209,0.037786,-0.066973,-0.035586,0.028913,-0.074877,-0.039869,138.520352,137.711479,124.151690,0.089155,0.218454,-0.054213,0.068459,0.221561,-0.033960,-0.347445,143.401905,138.532308,125.132125,0.050367,0.158231,-0.058466,0.033778,0.157345,-0.047599,-0.185719
18,1777724743.007710,153.165010,140.173966,127.092995,-0.109380,-0.033733,-0.078132,-0.117123,-0.042388,-0.104074,-0.006218,138.520352,137.711479,124.151690,-0.026967,0.234781,-0.056782,-0.039315,0.238326,-0.024861,-0.546134,143.401905,138.532308,125.132125,-0.054438,0.145277,-0.063899,-0.065251,0.144755,-0.051265,-0.187646
