frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777724790.620738,145.074101,135.130045,121.007606,-1.783526,-1.465292,-1.292995,-2.639471,-2.249580,-2.036765,0.016131,126.465845,129.831338,115.384507,-2.472168,-1.742954,-1.544042,-3.827075,-2.921999,-2.654682,0.004593,132.668597,131.597574,117.258874,-2.242621,-1.650400,-1.460360,-3.431207,-2.697859,-2.448710,0.002315
1,1777724790.836541,144.886818,135.160453,120.562744,-2.745547,-2.338999,-2.127470,-2.752080,-2.358684,-2.150067,0.016033,126.193611,129.242361,114.921389,-3.958307,-3.032254,-2.758725,-4.002815,-3.100924,-2.833519,0.004897,132.424680,131.215058,116.801840,-3.554054,-2.801169,-2.548307,-3.585903,-2.853510,-2.605702,0.002492
2,1777724791.039533,146.476649,135.530393,121.182975,-3.305834,-2.890104,-2.679237,-3.046370,-2.646065,-2.449388,0.015520,125.698677,127.569427,112.622564,-4.898519,-3.945176,-3.650788,-4.463698,-3.571325,-3.304250,0.005733,132.624668,130.223082,115.476034,-4.367624,-3.593486,-3.326938,-3.991255,-3.262905,-3.019296,0.002968
3,1777724791.143787,145.603975,135.198626,120.599558,-3.574612,-3.165543,-2.985472,-3.396292,-2.990393,-2.817393,0.013956,126.148944,128.381831,114.010845,-5.311714,-4.412536,-4.127828,-4.999487,-4.126532,-3.861396,0.006839,132.633954,130.654096,116.207083,-4.732680,-3.996871,-3.747043,-4.465089,-3.747819,-3.513395,0.003572
4,1777724791.285495,145.733039,135.317752,120.777328,-3.570795,-3.177962,-3.050821,-3.571925,-3.173842,-3.048754,0.010344,126.152324,127.922183,112.965423,-5.240792,-4.443113,-4.194043,-5.225189,-4.405199,-4.147740,0.007681,132.679229,130.387373,115.569391,-4.684127,-4.021396,-3.812969,-4.674101,-3.994746,-3.781411,0.003999
5,1777724791.351436,145.733039,135.317752,120.777328,-3.274968,-2.928092,-2.870784,-3.219528,-2.880615,-2.841778,0.002224,126.152324,127.922183,112.965423,-4.706772,-4.041347,-3.831498,-4.603981,-3.936299,-3.710059,0.007422,132.679229,130.387373,115.569391,-4.229504,-3.670262,-3.511260,-4.142497,-3.584404,-3.420632,0.003760
6,1777724791.498621,145.840499,135.395972,121.083766,-2.681167,-2.412108,-2.451699,-2.577041,-2.327847,-2.386308,-0.011134,126.446436,128.541187,113.664604,-3.701297,-3.202203,-3.017643,-3.534748,-3.056787,-2.863843,0.007366,132.911124,130.826115,116.137658,-3.361254,-2.938838,-2.828995,-3.215512,-2.813807,-2.704665,0.003309
7,1777724791.590826,146.129555,135.927862,120.837934,-1.778382,-1.630623,-1.782335,-1.710247,-1.583457,-1.725581,-0.026182,127.697324,129.477676,114.726268,-2.251170,-1.976368,-1.815677,-2.190836,-1.940162,-1.790186,0.007683,133.841401,131.627738,116.763490,-2.093574,-1.861120,-1.804563,-2.030640,-1.821260,-1.768651,0.002739
8,1777724791.620623,150.441685,139.378552,124.063257,-0.705407,-0.713739,-0.936433,-0.744558,-0.755621,-0.942248,-0.037651,134.544316,135.659482,121.000925,-0.647445,-0.634235,-0.514754,-0.794158,-0.791250,-0.696257,0.008273,139.843439,136.899172,122.021702,-0.666765,-0.660737,-0.655314,-0.777625,-0.779374,-0.778254,0.002145
9,1777724791.638171,150.441685,139.378552,124.063257,0.267340,0.115019,-0.092797,0.162460,0.028570,-0.144808,-0.042292,134.544316,135.659482,121.000925,0.641707,0.399852,0.445388,0.429215,0.197427,0.230191,0.008955,139.843439,136.899172,122.021702,0.516918,0.304907,0.265993,0.340297,0.141141,0.105192,0.001599
