frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777726043.299743,160.864868,139.136651,134.424012,0.154941,0.083424,0.136167,0.276185,0.125902,0.319918,0.172494,142.620635,133.728860,129.880447,-0.100039,-0.479928,-0.267752,-0.191481,-0.866572,-0.321229,-0.143871,148.702046,135.531457,131.394969,-0.015046,-0.292144,-0.133113,-0.035593,-0.535747,-0.107513,-0.029145
1,1777726043.344755,161.437755,139.452168,134.099617,0.290689,0.127922,0.347866,0.281530,0.125716,0.344761,0.182177,142.588047,133.169971,129.424271,-0.200571,-0.911713,-0.328953,-0.202538,-0.888608,-0.305757,-0.151789,148.871283,135.264037,130.982720,-0.036818,-0.565168,-0.103347,-0.041182,-0.550500,-0.088918,-0.031784
2,1777726043.368384,161.437755,139.452168,134.099617,0.356756,0.148607,0.474429,0.299208,0.125090,0.412173,0.207331,142.588047,133.169971,129.424271,-0.261959,-1.114946,-0.315597,-0.231115,-0.952327,-0.270658,-0.172420,148.871283,135.264037,130.982720,-0.055721,-0.693762,-0.052255,-0.054341,-0.593188,-0.043048,-0.038865
3,1777726043.404324,160.855370,139.225937,134.203901,0.360304,0.142209,0.544675,0.332638,0.126614,0.500966,0.236669,142.540115,134.188600,130.556421,-0.288158,-1.137713,-0.249325,-0.263502,-1.045990,-0.244645,-0.196692,148.645200,135.867713,131.772248,-0.072004,-0.711072,0.015341,-0.064788,-0.655122,0.003892,-0.047948
4,1777726043.433191,160.855370,139.225937,134.203901,0.348870,0.124462,0.570442,0.374163,0.132478,0.574130,0.252533,142.540115,134.188600,130.556421,-0.281738,-1.081533,-0.207574,-0.277625,-1.124057,-0.251435,-0.210254,148.645200,135.867713,131.772248,-0.071536,-0.679535,0.051765,-0.060362,-0.705212,0.023754,-0.055109
5,1777726043.463480,160.641725,138.879779,134.208501,0.354760,0.114685,0.564548,0.390376,0.137295,0.572121,0.231968,142.610755,134.600441,130.817328,-0.248391,-1.020576,-0.234320,-0.245193,-1.080159,-0.288464,-0.194070,148.621079,136.026887,131.947719,-0.047341,-0.642156,0.031969,-0.033337,-0.674341,-0.001602,-0.055049
6,1777726043.492841,160.641725,138.879779,134.208501,0.394197,0.135356,0.540235,0.412159,0.154529,0.555874,0.182823,142.610755,134.600441,130.817328,-0.196811,-0.999920,-0.339106,-0.200008,-1.044938,-0.371733,-0.157104,148.621079,136.026887,131.947719,0.000192,-0.621495,-0.045992,0.004048,-0.645115,-0.062530,-0.050278
7,1777726043.522573,161.499490,139.371939,134.305102,0.441819,0.177444,0.504017,0.422032,0.174895,0.519775,0.092623,142.844461,133.487172,129.639213,-0.140262,-1.002019,-0.476382,-0.151551,-1.002202,-0.461631,-0.091887,149.062804,135.448761,131.194509,0.053765,-0.608865,-0.149582,0.039643,-0.609836,-0.134495,-0.039388
8,1777726043.548028,161.499490,139.371939,134.305102,0.431129,0.200523,0.455655,0.391247,0.177570,0.443584,-0.042961,142.844461,133.487172,129.639213,-0.096561,-0.947352,-0.546075,-0.104621,-0.898628,-0.491257,0.005329,149.062804,135.448761,131.194509,0.079335,-0.564727,-0.212165,0.060668,-0.539896,-0.179643,-0.021614
9,1777726043.575724,161.138648,139.440051,135.052041,0.337536,0.178545,0.368568,0.304448,0.147429,0.317351,-0.188573,142.606195,133.045262,129.515671,-0.065376,-0.774832,-0.484208,-0.061485,-0.695652,-0.413288,0.113646,148.783680,135.176859,131.361127,0.068928,-0.457040,-0.199949,0.060493,-0.414625,-0.169741,-0.000482
