frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777722861.144955,163.708728,143.496746,136.317456,0.012069,-0.059934,-0.376616,-0.021867,-0.085580,-0.463618,0.064579,136.104818,127.645985,123.047929,0.188591,-0.525852,-0.564274,0.257445,-0.565705,-0.683030,0.049158,145.306121,132.929572,127.471105,0.129750,-0.370546,-0.501721,0.164341,-0.405664,-0.609892,0.014035
1,1777722861.194118,163.708728,143.496746,136.317456,-0.038538,-0.091712,-0.476463,-0.035852,-0.086577,-0.449867,0.066836,136.104818,127.645985,123.047929,0.255052,-0.502630,-0.613643,0.252794,-0.497959,-0.631169,0.050826,145.306121,132.929572,127.471105,0.157189,-0.365657,-0.567917,0.156579,-0.360831,-0.570735,0.007005
2,1777722861.211220,163.915641,143.765162,137.291230,-0.080014,-0.093328,-0.447778,-0.075867,-0.087004,-0.410839,0.073197,136.124566,126.901215,121.561545,0.270952,-0.384984,-0.581078,0.237989,-0.312380,-0.482775,0.054532,145.388258,132.522531,126.804773,0.153963,-0.287765,-0.536645,0.133370,-0.237254,-0.458796,-0.009443
3,1777722861.234781,163.915641,143.765162,137.291230,-0.133048,-0.087941,-0.368182,-0.136804,-0.082937,-0.354465,0.082291,136.124566,126.901215,121.561545,0.236646,-0.102103,-0.341917,0.209336,-0.041689,-0.242052,0.055541,145.388258,132.522531,126.804773,0.113415,-0.097382,-0.350672,0.093956,-0.055438,-0.279523,-0.027932
4,1777722861.282879,163.609348,143.556604,137.359634,-0.199173,-0.081282,-0.281392,-0.205688,-0.074062,-0.290223,0.091419,135.757246,129.462862,124.226943,0.165789,0.297167,0.078964,0.163510,0.274944,0.082878,0.048766,145.041280,134.160776,128.604507,0.044135,0.171017,-0.041154,0.040444,0.158609,-0.041489,-0.042786
5,1777722861.298925,163.609348,143.556604,137.359634,-0.260351,-0.061533,-0.196524,-0.256314,-0.058804,-0.208391,0.096035,135.757246,129.462862,124.226943,0.085185,0.643729,0.506184,0.096697,0.581325,0.452993,0.031276,145.041280,134.160776,128.604507,-0.029993,0.408642,0.271948,-0.020974,0.367949,0.232532,-0.048539
6,1777722861.338246,163.329485,143.953675,137.793720,-0.298216,-0.038219,-0.133658,-0.285733,-0.054546,-0.162510,0.099403,135.362061,129.607768,125.055208,0.021741,0.853876,0.828971,0.046223,0.808657,0.771803,0.011771,144.684535,134.389737,129.301379,-0.084912,0.556511,0.508095,-0.064429,0.520923,0.460365,-0.043045
7,1777722861.355618,163.329485,143.953675,137.793720,-0.294176,-0.042081,-0.123859,-0.280537,-0.061037,-0.147969,0.098801,135.362061,129.607768,125.055208,0.002255,0.929252,1.001335,0.022305,0.904770,0.960024,-0.003090,144.684535,134.389737,129.301379,-0.096555,0.605474,0.626271,-0.078642,0.582835,0.590693,-0.026317
8,1777722861.399966,163.504288,143.473699,137.044597,-0.244912,-0.071604,-0.153631,-0.236421,-0.071884,-0.147879,0.091884,135.834074,129.331357,124.760623,0.021260,0.884333,1.015707,0.020691,0.869454,0.992113,-0.010147,145.057479,134.045471,128.855281,-0.067464,0.565687,0.625927,-0.065013,0.555675,0.612116,-0.003780
9,1777722861.419133,163.504288,143.473699,137.044597,-0.162502,-0.093040,-0.165371,-0.159807,-0.075713,-0.139288,0.082078,135.834074,129.331357,124.760623,0.041314,0.745483,0.901930,0.025493,0.747335,0.895341,-0.012314,145.057479,134.045471,128.855281,-0.026624,0.465975,0.546163,-0.036274,0.472986,0.550465,0.016550
