frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777732566.755534,118.962146,102.292133,91.596774,-0.036836,0.078864,-0.086746,-0.265777,-0.047676,-0.291498,0.039531,136.770068,126.331020,113.711553,-0.051234,-0.264575,-0.186013,-0.462514,-0.815044,-0.818534,-0.001835,130.834094,118.318058,106.339960,-0.046435,-0.150095,-0.152924,-0.396935,-0.559255,-0.642855,-0.008280
1,1777732567.011737,119.558743,103.129952,91.054303,-0.312831,-0.089067,-0.331340,-0.301195,-0.075098,-0.302799,0.036846,135.466152,123.564417,110.787367,-0.536095,-0.887972,-0.899332,-0.530624,-0.897901,-0.921598,-0.001268,130.163683,116.752928,104.209679,-0.461673,-0.621670,-0.710002,-0.454148,-0.623633,-0.715332,-0.009077
2,1777732567.152516,118.632487,102.674299,90.904762,-0.494351,-0.197963,-0.422769,-0.403423,-0.154252,-0.336735,0.029419,136.288791,125.806805,112.765917,-0.845530,-1.289945,-1.386189,-0.713215,-1.117861,-1.193373,0.000359,130.403357,118.095970,105.478865,-0.728471,-0.925951,-1.065049,-0.609951,-0.796658,-0.907827,-0.011290
3,1777732567.262323,119.905131,103.407369,92.726412,-0.612022,-0.298280,-0.423887,-0.564872,-0.282138,-0.396075,0.018875,136.322843,123.769902,110.654706,-1.040293,-1.506695,-1.664443,-0.954984,-1.384206,-1.516100,0.002794,130.850272,116.982391,104.678608,-0.897536,-1.103890,-1.250925,-0.824946,-1.016850,-1.142758,-0.014364
4,1777732567.395392,119.024722,102.584204,91.370997,-0.720491,-0.422522,-0.438367,-0.757859,-0.447146,-0.466332,0.007030,135.582920,125.330633,112.038220,-1.170473,-1.572354,-1.755918,-1.166808,-1.551981,-1.711596,0.005548,130.063521,117.748490,105.149145,-1.020479,-1.189076,-1.316734,-1.030492,-1.183703,-1.296508,-0.017306
5,1777732567.541070,119.598657,102.693871,91.491047,-0.847124,-0.565148,-0.463074,-0.902905,-0.598398,-0.490327,-0.005202,135.096131,122.547024,109.044940,-1.206559,-1.463944,-1.623511,-1.206099,-1.421585,-1.557006,0.007769,129.930306,115.929306,103.193643,-1.086748,-1.164346,-1.236699,-1.105034,-1.147189,-1.201447,-0.018610
6,1777732567.674799,119.450151,102.908665,92.294747,-1.014850,-0.731846,-0.507754,-1.039944,-0.750065,-0.536133,-0.014427,136.434041,125.484571,112.378110,-1.168864,-1.174809,-1.262138,-1.192531,-1.158474,-1.252484,0.010808,130.772744,117.959269,105.683656,-1.117526,-1.027155,-1.010676,-1.141669,-1.022338,-1.013700,-0.018917
7,1777732567.817061,117.404347,101.070848,90.550025,-1.172275,-0.891265,-0.588777,-1.124577,-0.858468,-0.577764,-0.019583,135.114278,124.510389,112.170511,-1.115579,-0.806491,-0.830282,-1.120371,-0.808879,-0.865555,0.014883,129.210967,116.697209,104.963682,-1.134478,-0.834749,-0.749780,-1.121773,-0.825409,-0.769624,-0.017910
8,1777732567.912694,118.042310,101.569935,90.958520,-1.195913,-0.947925,-0.637484,-1.123820,-0.891922,-0.588914,-0.020314,135.177183,124.865707,111.771159,-1.022103,-0.427024,-0.445859,-0.988697,-0.433147,-0.472519,0.019533,129.465558,117.100450,104.833613,-1.080040,-0.600657,-0.509734,-1.033738,-0.586072,-0.511317,-0.015361
9,1777732568.060575,117.465120,100.988320,90.015840,-1.038068,-0.857808,-0.596459,-1.014056,-0.830253,-0.567880,-0.016412,134.959863,126.283092,113.341861,-0.850965,-0.092278,-0.150030,-0.818788,-0.116187,-0.170221,0.023509,129.128282,117.851502,105.566521,-0.913333,-0.347455,-0.298839,-0.883877,-0.354209,-0.302774,-0.011394
10,1777732568.181386,120.050606,102.872076,91.954206,-0.769341,-0.668368,-0.489317,-0.784393,-0.669311,-0.516077,-0.010117,135.743424,125.119710,111.519825,-0.624564,0.115131,0.009094,-0.634846,0.062768,-0.037139,0.025356,130.512484,117.703832,104.997952,-0.672823,-0.146035,-0.157043,-0.684695,-0.181259,-0.196785,-0.006592
11,1777732568.305425,118.484036,101.694371,91.409809,-0.490274,-0.451909,-0.405951,-0.483585,-0.451482,-0.442423,-0.006789,136.512421,126.903319,114.114386,-0.421596,0.157905,0.002588,-0.462936,0.078882,-0.079003,0.024127,130.502959,118.500336,106.546194,-0.444489,-0.045366,-0.133592,-0.469819,-0.097906,-0.200143,-0.001753
12,1777732568.430476,118.404347,102.173221,90.737183,-0.166268,-0.205611,-0.353401,-0.189307,-0.239201,-0.363887,-0.009363,135.824152,125.801563,112.217594,-0.298398,-0.012545,-0.227527,-0.334975,-0.053309,-0.263096,0.019724,130.017550,117.925449,105.057457,-0.254355,-0.076900,-0.269485,-0.286419,-0.115273,-0.296693,0.002499
13,1777732568.568730,121.827824,104.182851,91.398244,0.156744,0.012279,-0.284951,0.076620,-0.053120,-0.276057,-0.016679,136.343552,124.025496,110.561409,-0.244794,-0.315348,-0.578937,-0.263078,-0.290993,-0.542759,0.012931,131.504976,117.411281,104.173687,-0.110948,-0.206139,-0.480942,-0.149845,-0.211702,-0.453858,0.006037
14,1777732568.661048,119.264173,102.189037,90.606045,0.344887,0.120357,-0.190473,0.343140,0.125255,-0.156157,-0.025855,135.557281,124.288428,110.912247,-0.234129,-0.587649,-0.872973,-0.226471,-0.557104,-0.842515,0.005195,130.126245,116.921964,104.143513,-0.041124,-0.351647,-0.645473,-0.036601,-0.329651,-0.613729,0.009848
15,1777732568.897314,118.501840,101.660254,90.891770,0.504322,0.218557,-0.040969,0.620383,0.307451,0.005847,-0.033126,135.770588,124.577338,111.494696,-0.222407,-0.787245,-1.088112,-0.190748,-0.767871,-1.079980,-0.001930,130.014339,116.938310,104.627054,0.019836,-0.451978,-0.739064,0.079629,-0.409430,-0.718037,0.014690
16,1777732569.036272,118.161714,101.619023,90.727630,0.809402,0.427083,0.183327,0.877150,0.478280,0.188910,-0.034519,135.048505,123.356798,109.950145,-0.155403,-0.890560,-1.211145,-0.128854,-0.854263,-1.186192,-0.007443,129.419575,116.110873,103.542640,0.166199,-0.451346,-0.746321,0.206480,-0.410082,-0.727824,0.019229
17,1777732569.192860,123.018924,104.710590,93.205729,1.147726,0.663176,0.399989,1.074384,0.611177,0.350506,-0.026879,136.585317,123.741270,110.446825,-0.028274,-0.821859,-1.153352,-0.029500,-0.780193,-1.119343,-0.011109,132.063186,117.397710,104.699793,0.363726,-0.326847,-0.635572,0.338461,-0.316403,-0.629393,0.021926
18,1777732569.306034,119.979090,102.899297,91.172968,1.296347,0.774442,0.513998,1.189634,0.688350,0.461130,-0.010906,135.925362,124.927194,111.717358,0.113896,-0.593067,-0.919753,0.107820,-0.551042,-0.869866,-0.013173,130.609938,117.584562,104.869228,0.508046,-0.137231,-0.441836,0.468425,-0.137912,-0.426201,0.022608
