frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777725509.955303,154.370092,138.415679,129.974440,2.023070,3.746173,3.711031,-1.164995,0.560748,0.478943,0.876749,128.691803,126.956975,115.445275,0.430437,2.512952,1.897262,-4.160831,-1.716943,-2.491669,0.059009,137.251232,130.776543,120.288330,0.961315,2.924026,2.501852,-3.162219,-0.957713,-1.501465,0.036472
1,1777725510.557401,132.194593,110.090115,100.922698,-1.480844,0.243759,0.158143,-1.753264,-0.070160,-0.168858,0.801922,103.135599,96.239282,84.670451,-4.588673,-2.132302,-2.909712,-4.914511,-2.463357,-3.233511,0.064684,112.821930,100.856227,90.087867,-3.552730,-1.340282,-1.887094,-3.860762,-1.665625,-2.211960,0.033188
2,1777725510.570075,130.334842,108.012894,99.043484,-4.467300,-2.964536,-3.105234,-3.333159,-1.789637,-1.926959,0.597681,101.455541,94.963560,83.871308,-8.521241,-6.010191,-6.820047,-6.907192,-4.476505,-5.226859,0.080891,111.081975,99.313338,88.928700,-7.169927,-4.994973,-5.581776,-5.715848,-3.580883,-4.126892,0.023938
3,1777725510.583029,130.334842,108.012894,99.043484,-6.265210,-4.986641,-5.172258,-5.353317,-4.059614,-4.230853,0.324026,101.455541,94.963560,83.871308,-10.665818,-8.266209,-9.009998,-9.357342,-7.068659,-7.767910,0.105061,111.081975,99.313338,88.928700,-9.198949,-7.173020,-7.730751,-8.022667,-6.065644,-6.588891,0.010364
4,1777725510.600873,129.507081,108.001906,98.496868,-7.031702,-6.024820,-6.229453,-6.902969,-5.947607,-6.122400,0.076320,100.466563,94.800000,84.007663,-11.245922,-9.182364,-9.785201,-11.015576,-9.064716,-9.658044,0.132494,110.146736,99.200635,88.837398,-9.841182,-8.129849,-8.599951,-9.644707,-8.025680,-8.479496,-0.005406
5,1777725510.612249,129.507081,108.001906,98.496868,-6.946051,-6.347938,-6.503285,-6.921729,-6.387407,-6.519595,-0.082477,100.466563,94.800000,84.007663,-10.479344,-9.060407,-9.461645,-10.402547,-9.065826,-9.461897,0.155814,110.146736,99.200635,88.837398,-9.301580,-8.156251,-8.475525,-9.242274,-8.173020,-8.481130,-0.021666
6,1777725510.663568,131.340142,107.223856,98.633034,-6.257036,-6.175597,-6.223051,-6.301260,-6.208967,-6.265575,-0.158966,106.622368,96.149149,86.253793,-8.797354,-8.220911,-8.392872,-8.910028,-8.266487,-8.451408,0.176432,114.861626,99.840718,90.380206,-7.950581,-7.539140,-7.669598,-8.040438,-7.580647,-7.722797,-0.038362
7,1777725510.674300,131.340142,107.223856,98.633034,-5.276383,-5.669522,-5.612335,-5.368027,-5.711434,-5.668615,-0.183641,106.622368,96.149149,86.253793,-6.837687,-6.994898,-6.962071,-7.051002,-7.089356,-7.081119,0.190782,114.861626,99.840718,90.380206,-6.317252,-6.553106,-6.512159,-6.490010,-6.630049,-6.610285,-0.055554
8,1777725510.727748,132.031901,107.281427,98.461882,-4.239399,-4.987135,-4.849332,-4.342592,-5.053819,-4.909357,-0.168221,107.853793,97.522601,87.916641,-5.008734,-5.667291,-5.482800,-5.198015,-5.803014,-5.640298,0.194268,115.913162,100.775543,91.431721,-4.752289,-5.440572,-5.271644,-4.912874,-5.553282,-5.396651,-0.072934
9,1777725510.739944,132.031901,107.281427,98.461882,-3.305125,-4.280592,-4.066027,-3.383865,-4.339864,-4.123230,-0.123273,107.853793,97.522601,87.916641,-3.491626,-4.477370,-4.200060,-3.609754,-4.594206,-4.321324,0.181400,115.913162,100.775543,91.431721,-3.429459,-4.411777,-4.155383,-3.534458,-4.509425,-4.255293,-0.089504
10,1777725510.808399,131.032373,105.955281,97.861317,-2.539521,-3.618279,-3.345444,-2.574844,-3.638718,-3.392954,-0.058771,106.744681,95.905605,86.036599,-2.339851,-3.514018,-3.188416,-2.386081,-3.559993,-3.218274,0.145938,114.840578,99.255497,89.978172,-2.406407,-3.548772,-3.240759,-2.449002,-3.586234,-3.276501,-0.103520
11,1777725510.819805,131.032373,105.955281,97.861317,-1.920165,-2.987834,-2.724791,-1.931909,-2.991237,-2.751855,0.015601,106.744681,95.905605,86.036599,-1.488440,-2.721573,-2.358908,-1.496088,-2.718697,-2.344449,0.081071,114.840578,99.255497,89.978172,-1.632348,-2.810327,-2.480869,-1.641362,-2.809543,-2.480251,-0.112538
12,1777725510.874109,130.651688,105.830202,96.881536,-1.424490,-2.393130,-2.201262,-1.430905,-2.404099,-2.199170,0.090081,106.305341,95.426393,86.177245,-0.871060,-2.055087,-1.666678,-0.863760,-2.038917,-1.662116,-0.033134,114.420790,98.894329,89.745342,-1.055536,-2.167768,-1.844873,-1.052808,-2.160644,-1.841134,-0.113770
13,1777725510.885691,130.651688,105.830202,96.881536,-1.034808,-1.858620,-1.736508,-1.027766,-1.862134,-1.715721,0.154582,106.305341,95.426393,86.177245,-0.427942,-1.487224,-1.118125,-0.406370,-1.470683,-1.114292,-0.204691,114.420790,98.894329,89.745342,-0.630230,-1.611023,-1.324253,-0.613502,-1.601167,-1.314768,-0.097831
14,1777725510.935650,130.180725,105.402676,96.855231,-0.717100,-1.379351,-1.308848,-0.688252,-1.359268,-1.285984,0.199868,106.167570,95.691486,86.054799,-0.098869,-0.999762,-0.694368,-0.061361,-0.985578,-0.673265,-0.386849,114.171955,98.928550,89.654943,-0.304946,-1.126292,-0.899195,-0.270325,-1.110142,-0.877505,-0.053964
15,1777725510.949256,130.180725,105.402676,96.855231,-0.424750,-0.924887,-0.917178,-0.399006,-0.905422,-0.909251,0.212680,106.167570,95.691486,86.054799,0.171957,-0.588125,-0.355673,0.200730,-0.583816,-0.345793,-0.517436,114.171955,98.928550,89.654943,-0.026945,-0.700379,-0.542841,0.000818,-0.691018,-0.533612,0.010980
16,1777725510.999615,131.130576,106.407272,97.726548,-0.155883,-0.505270,-0.582035,-0.160121,-0.514229,-0.600551,0.172298,107.432198,96.583514,87.352786,0.392826,-0.260792,-0.105476,0.388153,-0.273475,-0.133477,-0.562344,115.331657,99.858100,90.810707,0.209923,-0.342285,-0.264329,0.205395,-0.353726,-0.289168,0.077924
