frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777727313.391222,162.941732,141.707402,132.330079,1.656066,0.911351,0.986752,2.439180,1.440584,1.632415,0.004643,147.453193,138.338654,127.908460,1.048533,0.292953,0.157306,1.581241,0.519887,0.360223,0.026272,152.616039,139.461570,129.382333,1.251044,0.499086,0.433788,1.867221,0.826786,0.784287,-0.026178
1,1777727313.440367,162.941732,141.707402,132.330079,2.498759,1.493275,1.693198,2.529928,1.507827,1.720488,0.004944,147.453193,138.338654,127.908460,1.611663,0.535688,0.374382,1.645023,0.549544,0.390333,0.028702,152.616039,139.461570,129.382333,1.907361,0.854884,0.813987,1.939992,0.868972,0.833718,-0.027631
2,1777727313.487242,162.989291,141.453701,132.586457,3.005578,1.849103,2.150416,2.752301,1.676100,1.940571,0.005711,147.622655,138.247385,127.987374,1.964200,0.686613,0.522787,1.797029,0.621494,0.465813,0.035525,152.744867,139.316157,129.520401,2.311326,1.074110,1.065330,2.115453,0.973029,0.957399,-0.031537
3,1777727313.533692,163.123780,141.846614,132.808819,3.188265,2.008256,2.363656,2.968941,1.859511,2.178626,0.006529,148.076389,138.736472,128.465278,2.091835,0.749282,0.595666,1.929840,0.685115,0.539370,0.045343,153.092186,139.773186,129.913125,2.457312,1.168940,1.184996,2.276207,1.076581,1.085788,-0.036522
4,1777727313.568416,163.123780,141.846614,132.808819,3.043567,1.969752,2.331205,2.982975,1.937891,2.282671,0.006721,148.076389,138.736472,128.465278,1.962744,0.704295,0.570450,1.896856,0.668393,0.539906,0.054763,153.092186,139.773186,129.913125,2.323018,1.126114,1.157368,2.258896,1.091559,1.120828,-0.040299
5,1777727313.600919,162.485564,141.311718,132.859348,2.584308,1.748090,2.056958,2.546224,1.745649,2.050188,0.005327,147.403246,138.762261,128.502943,1.583828,0.543292,0.441655,1.536434,0.498834,0.396385,0.058269,152.430685,139.612080,129.955078,1.917321,0.944891,0.980089,1.873031,0.914439,0.947653,-0.039177
6,1777727313.636508,160.647672,140.124387,130.119332,1.903730,1.424363,1.638882,1.926506,1.458484,1.682802,0.003369,146.348402,138.514572,128.682409,1.032924,0.281569,0.212027,1.049302,0.272712,0.189597,0.058449,151.114825,139.051177,129.161383,1.323192,0.662500,0.687646,1.341703,0.667969,0.687332,-0.033900
7,1777727313.681631,159.448346,140.191496,131.299843,1.168524,1.091076,1.221825,1.225422,1.123209,1.245495,0.001623,144.607684,137.013167,126.997385,0.457129,-0.003378,-0.061010,0.528274,0.041103,-0.030692,0.056533,149.554571,138.072610,128.431537,0.694261,0.361440,0.366601,0.760657,0.401805,0.394704,-0.023944
8,1777727313.725720,159.448346,140.191496,131.299843,0.488085,0.767289,0.801354,0.537518,0.776484,0.804385,0.000394,144.607684,137.013167,126.997385,-0.002587,-0.189860,-0.252616,0.057002,-0.143544,-0.206652,0.054048,149.554571,138.072610,128.431537,0.160970,0.129189,0.098707,0.217174,0.163132,0.130360,-0.009545
9,1777727313.759596,158.283548,139.641850,129.608456,-0.104637,0.443781,0.369194,-0.081367,0.432847,0.393332,-0.000600,144.795383,137.681004,127.425474,-0.317955,-0.244977,-0.308649,-0.307197,-0.232305,-0.281953,0.048390,149.291438,138.334620,128.153135,-0.246849,-0.015391,-0.082702,-0.231920,-0.010588,-0.056858,0.008822
