frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777725564.454901,142.435404,121.305267,110.937293,-1.893042,-1.979828,-2.868853,-3.318491,-3.699920,-4.511158,0.041520,122.332192,115.808286,105.181238,-2.540339,-2.350598,-4.146553,-4.413642,-4.615331,-6.383460,0.037318,129.033262,117.640613,107.099923,-2.324573,-2.227008,-3.720653,-4.048592,-4.310194,-5.759359,0.107883
1,1777725564.527839,143.584673,121.989644,112.119639,-3.469547,-3.887679,-4.614507,-3.424013,-3.848819,-4.573161,0.037759,123.379675,115.726966,104.536991,-4.599375,-4.848275,-6.465281,-4.552527,-4.831712,-6.413732,0.035700,130.114675,117.814526,107.064541,-4.222766,-4.528076,-5.848356,-4.176356,-4.504081,-5.800209,0.110066
2,1777725564.538943,143.584673,121.989644,112.119639,-4.241767,-4.885014,-5.384869,-3.706825,-4.248083,-4.727388,0.026662,123.379675,115.726966,104.536991,-5.634636,-6.255938,-7.455484,-4.925226,-5.414685,-6.489299,0.030800,130.114675,117.814526,107.064541,-5.170346,-5.798963,-6.765279,-4.519092,-5.025818,-5.901996,0.115420
3,1777725564.715658,144.199036,122.399185,111.644428,-4.399056,-5.166377,-5.317797,-4.044815,-4.734865,-4.847107,0.008762,123.650377,114.709062,103.286670,-5.848605,-6.730388,-7.172372,-5.369362,-6.135873,-6.489131,0.022509,130.499930,117.272436,106.072589,-5.365422,-6.209051,-6.554180,-4.927846,-5.668870,-5.941790,0.120354
4,1777725564.727561,145.325089,123.588347,115.916885,-4.139535,-4.944937,-4.630232,-4.189818,-4.993993,-4.679245,-0.015093,126.009626,117.858086,112.698295,-5.483898,-6.489800,-5.968381,-5.554579,-6.556890,-6.107214,0.010737,132.448114,119.768173,113.771158,-5.035777,-5.974845,-5.522331,-5.099659,-6.035924,-5.631224,0.118882
5,1777725564.737691,145.325089,123.588347,115.916885,-3.660448,-4.439569,-3.688298,-3.714011,-4.503012,-3.798972,-0.043693,126.009626,117.858086,112.698295,-4.832762,-5.873609,-4.551059,-4.920659,-5.977079,-4.807198,-0.004401,132.448114,119.768173,113.771158,-4.441991,-5.395596,-4.263472,-4.518443,-5.485723,-4.471122,0.102726
6,1777725564.779255,145.790327,124.115497,117.250000,-3.090743,-3.804265,-2.745066,-3.128966,-3.862426,-2.850666,-0.073629,126.336015,117.516364,112.820270,-4.074997,-5.098244,-3.305941,-4.128728,-5.155646,-3.463958,-0.023298,132.820785,119.716075,114.296846,-3.746912,-4.666918,-3.118982,-3.795474,-4.724572,-3.259527,0.074024
7,1777725564.789145,145.790327,124.115497,117.250000,-2.512606,-3.141831,-1.923019,-2.537813,-3.180204,-1.999610,-0.101294,126.336015,117.516364,112.820270,-3.287006,-4.219031,-2.250981,-3.309293,-4.237863,-2.300126,-0.045850,132.820785,119.716075,114.296846,-3.028873,-3.859965,-2.141661,-3.052133,-3.885310,-2.199954,0.030719
8,1777725564.918527,146.045065,123.933413,117.508799,-1.979134,-2.503745,-1.283536,-2.008854,-2.517368,-1.321335,-0.122427,126.811606,118.301636,113.207164,-2.522572,-3.298350,-1.384717,-2.542286,-3.308354,-1.381884,-0.072487,133.222759,120.178895,114.641043,-2.341426,-3.033482,-1.350990,-2.364475,-3.044692,-1.361701,-0.029327
9,1777725564.933324,146.576633,124.277412,117.118665,-1.535802,-1.905584,-0.817048,-1.573855,-1.904117,-0.815395,-0.132583,127.333056,118.240903,112.935139,-1.835424,-2.407886,-0.684089,-1.863517,-2.411270,-0.666408,-0.099974,133.747581,120.253073,114.329647,-1.735550,-2.240452,-0.728409,-1.766963,-2.242219,-0.716070,-0.114626
