frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777722917.885987,164.812096,142.051820,135.343365,-0.130422,0.006398,-0.022228,-0.271777,0.010336,-0.050900,0.208838,139.878679,131.058863,126.790552,-0.088487,-0.450678,-0.474445,-0.275453,-0.316550,-0.211333,0.049858,148.189818,134.723182,129.641489,-0.102465,-0.298319,-0.323706,-0.274228,-0.207588,-0.157855,-0.106536
1,1777722917.933693,165.197299,142.310041,135.105402,-0.290121,0.011990,-0.045247,-0.294666,0.011864,-0.044079,0.191371,139.789603,130.450888,126.570414,-0.294219,-0.289683,-0.170781,-0.300882,-0.249536,-0.115332,0.063297,148.258835,134.403939,129.415410,-0.292853,-0.189125,-0.128937,-0.298810,-0.162403,-0.091581,-0.108910
2,1777722917.953110,165.197299,142.310041,135.105402,-0.393708,0.022283,-0.037737,-0.354238,0.017221,-0.023743,0.125142,139.789603,130.450888,126.570414,-0.430746,-0.060929,0.184804,-0.365143,-0.080996,0.128466,0.094749,148.258835,134.403939,129.415410,-0.418400,-0.033192,0.110624,-0.361508,-0.048257,0.077730,-0.114313
3,1777722917.986301,164.865812,142.171642,135.210082,-0.457485,0.030746,0.002248,-0.423406,0.028486,0.011986,-0.001766,139.464933,132.641791,129.187771,-0.501434,0.207791,0.545944,-0.441174,0.129358,0.429289,0.123978,147.931893,135.818408,131.195208,-0.486784,0.148776,0.364712,-0.435251,0.095734,0.290188,-0.113450
4,1777722918.011806,164.865812,142.171642,135.210082,-0.470624,0.044852,0.063793,-0.461215,0.047270,0.068292,-0.159636,139.464933,132.641791,129.187771,-0.500119,0.388405,0.763868,-0.492877,0.337614,0.699853,0.133147,147.931893,135.818408,131.195208,-0.490288,0.273887,0.530509,-0.482323,0.240833,0.489333,-0.096573
5,1777722918.040703,164.763840,142.071970,135.217075,-0.428686,0.070318,0.138822,-0.413881,0.076851,0.145814,-0.300185,139.975132,131.459239,127.947958,-0.448869,0.473908,0.827281,-0.466034,0.499925,0.845084,0.110721,148.238035,134.996816,130.370997,-0.442141,0.339378,0.597795,-0.448649,0.358900,0.611994,-0.060215
6,1777722918.062609,164.763840,142.071970,135.217075,-0.333658,0.110837,0.221895,-0.325547,0.121333,0.219256,-0.382051,139.975132,131.459239,127.947958,-0.397351,0.577295,0.861152,-0.420374,0.636556,0.913536,0.063528,148.238035,134.996816,130.370997,-0.376120,0.421809,0.648066,-0.388765,0.464815,0.682109,-0.029011
7,1777722918.107440,165.184281,142.098170,135.582494,-0.204610,0.164696,0.293611,-0.210555,0.174590,0.273443,-0.385227,139.562072,132.765559,129.141088,-0.359228,0.719162,0.898907,-0.363692,0.736639,0.908711,0.003160,148.102809,135.876429,131.288224,-0.307688,0.534340,0.697142,-0.312647,0.549289,0.696955,-0.021125
8,1777722918.127034,165.184281,142.098170,135.582494,-0.077817,0.224535,0.320574,-0.089239,0.218709,0.302695,-0.310261,139.562072,132.765559,129.141088,-0.312123,0.826378,0.881229,-0.295885,0.781858,0.836519,-0.056032,148.102809,135.876429,131.288224,-0.234021,0.625764,0.694344,-0.227003,0.594142,0.658578,-0.042022
9,1777722918.167534,165.201633,142.506618,134.954097,0.026295,0.268061,0.303957,0.019031,0.241175,0.307869,-0.180258,139.445141,133.643379,129.555970,-0.241917,0.836973,0.771729,-0.217034,0.755097,0.705151,-0.107942,148.030639,136.597792,131.355346,-0.152513,0.647336,0.615805,-0.138346,0.583790,0.572723,-0.077889
