frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1778582011.576880,164.784398,130.605826,117.050527,0.011109,0.149727,-0.214417,0.282231,0.557525,-0.085127,-0.361760,168.553545,137.728620,124.096680,0.149895,0.710022,0.404393,0.484429,1.271595,0.756354,-0.069791,167.297162,135.354355,121.747963,0.103633,0.523257,0.198123,0.417029,1.033572,0.475861,-0.053390
1,1778582011.655486,163.907460,130.500000,116.640476,0.303454,0.603424,-0.080572,0.263234,0.573655,-0.091711,-0.318824,169.506854,139.374188,126.168290,0.560074,1.398858,0.849662,0.571612,1.412328,0.887967,-0.068544,167.640390,136.416126,122.992352,0.474534,1.133714,0.539584,0.468819,1.132770,0.561407,-0.051750
2,1778582011.694237,164.234080,130.762560,116.767680,0.333797,0.774241,-0.063009,0.218741,0.619801,-0.109845,-0.180996,169.145254,138.927605,125.295514,0.907901,1.978234,1.330036,0.810335,1.803624,1.242656,-0.065044,167.508196,136.205923,122.452902,0.716533,1.576903,0.865688,0.613137,1.409017,0.791822,-0.047129
3,1778582011.728811,163.314961,129.691678,116.703412,0.200647,0.752056,-0.123706,0.159936,0.675131,-0.146384,0.028425,169.540396,139.098983,126.430622,1.213955,2.473011,1.819217,1.139616,2.355830,1.727387,-0.059661,167.465251,135.963215,123.188219,0.876186,1.899359,1.171576,0.813056,1.795597,1.102797,-0.040070
4,1778582011.756389,163.517778,130.396667,116.685873,-0.002679,0.634854,-0.239681,0.051176,0.667122,-0.229245,0.249525,169.970238,139.540404,126.735841,1.481804,2.923238,2.275851,1.465733,2.919221,2.228226,-0.051638,167.819418,136.492492,123.385851,0.986976,2.160443,1.437340,0.994214,2.168521,1.409069,-0.030204
5,1778582011.790084,162.958583,129.845512,116.698425,-0.199823,0.465714,-0.388392,-0.199225,0.461786,-0.402733,0.436415,170.179383,140.204275,127.320256,1.679662,3.292428,2.620670,1.658985,3.278294,2.605606,-0.037070,167.772450,136.751354,123.779646,1.053167,2.350190,1.617650,1.039582,2.339458,1.602826,-0.014525
6,1778582011.822013,165.066327,130.946182,117.408328,-0.421132,0.238557,-0.586979,-0.480870,0.209166,-0.612103,0.538407,169.768817,139.260011,125.373934,1.814428,3.571032,2.891502,1.807736,3.575160,2.929787,-0.024593,168.201320,136.488735,122.718732,1.069242,2.460207,1.732009,1.044868,2.453162,1.749157,0.000233
7,1778582011.854525,163.244409,129.803150,116.383150,-0.728470,-0.049159,-0.840305,-0.774534,-0.067332,-0.845516,0.536032,169.850108,139.768488,126.892587,1.928796,3.805204,3.174664,1.930959,3.821361,3.209301,-0.016216,167.648209,136.446709,123.389441,1.043040,2.520417,1.836341,1.029128,2.525130,1.857695,0.012801
8,1778582011.882553,163.156063,129.750551,116.435433,-1.024986,-0.322600,-1.075137,-1.034886,-0.328989,-1.078230,0.441519,169.825216,139.705538,126.741703,2.045934,3.992021,3.418922,2.058959,4.023796,3.445405,-0.013581,167.602165,136.387209,123.306280,1.022294,2.553814,1.920902,1.027677,2.572867,1.937526,0.022313
9,1778582011.916077,163.393492,130.110000,116.937302,-1.204222,-0.522254,-1.255324,-1.182168,-0.509536,-1.263921,0.305596,169.332431,138.984668,126.056728,2.191932,4.129328,3.579305,2.215207,4.162826,3.596448,-0.018164,167.352785,136.026445,123.016919,1.059880,2.578801,1.967762,1.082748,2.605372,1.976325,0.027951
10,1778582011.954871,162.179534,128.944240,116.231771,-1.192020,-0.600590,-1.373659,-1.112569,-0.538656,-1.345713,0.175597,169.516854,139.630706,127.060130,2.405678,4.223142,3.643365,2.423559,4.201862,3.593329,-0.031211,167.071081,136.068551,123.450677,1.206445,2.615231,1.971024,1.244850,2.621689,1.946982,0.028778
11,1778582011.988696,162.563266,129.323836,115.891544,-0.849990,-0.447792,-1.338664,-0.739844,-0.371679,-1.279241,0.056209,169.894224,139.993592,127.231478,2.672900,4.178192,3.484959,2.715947,4.129782,3.409283,-0.053871,167.450571,136.437007,123.451500,1.498603,2.636198,1.877085,1.564017,2.629295,1.846442,0.023572
12,1778582012.046463,164.310560,130.608320,117.264640,-0.158800,-0.052079,-1.101726,-0.065497,-0.013359,-1.057815,-0.054033,169.685206,139.268354,126.232017,2.952956,3.889080,3.004191,3.078722,3.942962,3.051938,-0.090550,167.893657,136.381676,123.242891,1.915704,2.575360,1.635552,2.030649,2.624188,1.682021,0.010597
13,1778582012.090764,164.432388,131.035009,117.161274,0.801463,0.499391,-0.704705,0.832279,0.496743,-0.697578,-0.143290,168.658406,136.284217,122.770206,3.282612,3.442354,2.333043,3.377284,3.553942,2.452725,-0.136155,167.249733,134.534481,120.900562,2.455562,2.461366,1.320461,2.528949,2.534876,1.402624,-0.016288
14,1778582012.122408,168.398588,132.733815,119.107266,1.878328,1.109203,-0.212510,1.828261,1.089577,-0.233076,-0.200911,172.813431,138.838137,125.323725,3.552723,2.903736,1.583693,3.404577,2.820312,1.498682,-0.166020,171.341817,136.803363,123.251572,2.994591,2.305559,0.984958,2.879138,2.243400,0.921429,-0.056026
15,1778582012.308845,168.398588,132.733815,119.107266,2.826058,1.683197,0.287184,2.759578,1.666746,0.270214,-0.219997,172.813431,138.838137,125.323725,3.384150,2.024786,0.523164,3.041772,1.702871,0.194803,-0.161508,171.341817,136.803363,123.251572,3.198119,1.910923,0.444504,2.947707,1.690830,0.219940,-0.088024
16,1778582012.525599,169.382404,133.730372,119.633437,3.530308,2.174441,0.770229,3.477520,2.142329,0.750509,-0.200555,173.247421,138.975893,125.208929,2.481690,0.495928,-1.146948,2.298434,0.286938,-1.341547,-0.123032,171.959082,137.227386,123.350431,2.831230,1.055432,-0.507889,2.691463,0.905402,-0.644195,-0.093741
17,1778582012.693048,170.221763,134.464876,120.969353,3.951223,2.523011,1.214304,3.884741,2.464956,1.172901,-0.157482,163.634226,128.113591,113.671726,1.116465,-1.418210,-3.099196,1.277330,-1.271043,-2.934311,-0.060956,165.830072,130.230686,116.104268,2.061384,-0.104470,-1.661363,2.146467,-0.025710,-1.565240,-0.070705
18,1778582012.853252,170.402476,134.358816,120.655738,4.015131,2.668959,1.568281,3.946854,2.619213,1.535176,-0.111153,165.862488,129.893250,116.756027,-0.112300,-3.046519,-4.628572,0.144051,-2.758998,-4.345552,0.008259,167.375817,131.381772,118.055931,1.263510,-1.141360,-2.562955,1.411652,-0.966261,-2.385309,-0.026188
19,1778582013.006073,169.292849,133.777169,120.840717,3.739740,2.643844,1.864730,3.691678,2.628019,1.870632,-0.066981,163.860084,127.234464,113.675562,-1.044000,-4.158268,-5.540668,-0.943332,-3.979508,-5.345872,0.064924,165.671006,129.415366,116.063947,0.550580,-1.890897,-3.072202,0.601671,-1.776999,-2.940370,0.025542
20,1778582013.107394,168.900946,133.602456,120.931641,3.224320,2.523642,2.162285,3.197990,2.543399,2.216362,-0.023169,165.085589,128.411361,114.766584,-1.808592,-4.834750,-5.886824,-1.915836,-4.863188,-5.854165,0.090077,166.357375,130.141726,116.821603,-0.130954,-2.381953,-3.203788,-0.211227,-2.394326,-3.163989,0.064982
21,1778582013.245911,167.796741,132.709677,120.494075,2.565383,2.386840,2.523984,2.595073,2.435996,2.596178,0.018795,165.662681,129.346681,116.681869,-2.595044,-5.253563,-5.801199,-2.819362,-5.496232,-5.990861,0.083325,166.374034,130.467680,117.952604,-0.874902,-2.706762,-3.026138,-1.014551,-2.852156,-3.128515,0.069554
22,1778582013.440026,166.053472,132.847743,122.077951,1.902251,2.302522,2.969428,2.013967,2.360740,3.001850,0.056630,162.242560,129.169147,117.373710,-3.490352,-5.663868,-5.584905,-3.672558,-5.960773,-5.893184,0.064695,163.512864,130.395346,118.941791,-1.692818,-3.008405,-2.733461,-1.777050,-3.186935,-2.928173,0.023687
23,1778582013.542358,165.320509,132.573603,122.532452,1.412076,2.291873,3.403389,1.524643,2.328951,3.381026,0.087649,161.490935,125.910704,116.120058,-4.298447,-6.034794,-5.342008,-4.266091,-6.075279,-5.438123,0.056550,162.767460,128.131670,118.257523,-2.394939,-3.259239,-2.426876,-2.335846,-3.273869,-2.498406,-0.058948
24,1778582013.713105,166.372490,133.296831,123.320889,1.128730,2.317111,3.715679,1.147290,2.323761,3.674171,0.109143,156.284884,121.827964,111.525067,-4.658279,-5.931155,-4.756565,-4.240445,-5.449849,-4.311377,0.076438,159.647419,125.650920,115.457008,-2.729276,-3.181733,-1.932484,-2.444533,-2.858646,-1.649528,-0.137928
25,1778582013.820359,167.212804,133.458032,123.624259,0.889990,2.287433,3.821056,0.845867,2.285756,3.809976,0.119037,156.475806,121.020208,111.241472,-4.122244,-4.794788,-3.266114,-3.438125,-3.918231,-2.408355,0.122415,160.054806,125.166149,115.369068,-2.451500,-2.434048,-0.903724,-2.010128,-1.850235,-0.335578,-0.180591
26,1778582013.975282,165.828095,132.904921,122.546984,0.574123,2.140358,3.702611,0.516857,2.106261,3.696392,0.105154,156.959416,121.136634,112.061959,-2.475973,-2.287484,-0.528774,-2.119449,-1.790828,-0.053126,0.165927,159.915642,125.059396,115.556967,-1.459275,-0.811536,0.881687,-1.240680,-0.491798,1.196714,-0.181897
27,1778582014.100121,165.957778,133.317778,123.131746,0.199815,1.845944,3.389733,0.084170,1.713161,3.290675,0.051521,172.171988,142.303571,132.914141,-0.390553,0.806288,2.642806,-0.855500,0.248841,2.091070,0.174269,170.100584,139.308307,129.653343,-0.193764,1.152840,2.891782,-0.542276,0.736948,2.490939,-0.154212
28,1778582014.258048,167.204905,134.274194,124.182192,-0.311280,1.273244,2.771674,-0.413816,1.135452,2.638795,-0.032653,175.830645,146.062106,136.182610,0.642018,2.540227,4.353542,-0.267737,1.419603,3.261329,0.138902,172.955398,142.132802,132.182471,0.324252,2.117899,3.826253,-0.316430,1.324886,3.053818,-0.108566
29,1778582014.371315,162.343812,129.756583,120.187953,-0.936551,0.426865,1.820432,-0.860365,0.466218,1.830142,-0.120706,170.396099,140.529445,131.351932,-0.119373,1.956877,3.692289,-0.712241,1.228320,2.962338,0.071427,167.712003,136.938491,127.630605,-0.391766,1.446873,3.068337,-0.761616,0.974286,2.584939,-0.056908
