frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777725486.132583,127.755693,102.254047,93.460082,-2.762414,-3.059328,-2.966354,-6.017987,-6.740757,-6.703962,-0.006913,104.096300,92.152588,83.173150,-3.062461,-3.214118,-2.953242,-6.728633,-6.963361,-6.794039,0.003769,111.982765,95.519741,86.602128,-2.962445,-3.162522,-2.957613,-6.491751,-6.889160,-6.764013,-0.004735
1,1777725486.183112,127.811743,102.200929,94.452126,-6.411233,-7.186188,-7.172948,-6.367182,-7.138626,-7.124555,-0.007425,103.799872,91.306612,82.614027,-7.169894,-7.412161,-7.265694,-7.124241,-7.342935,-7.210297,0.004339,111.803829,94.938051,86.560060,-6.917007,-7.336837,-7.234779,-6.871888,-7.274832,-7.181716,-0.004996
2,1777725486.193377,127.811743,102.200929,94.452126,-8.466799,-9.519329,-9.571578,-7.304448,-8.206951,-8.256015,-0.008827,103.799872,91.306612,82.614027,-9.495101,-9.728738,-9.711001,-8.186317,-8.368122,-8.332737,0.005873,111.803829,94.938051,86.560060,-9.152333,-9.658935,-9.664527,-7.892360,-8.314398,-8.307163,-0.005693
3,1777725486.246561,128.447051,102.860219,94.557064,-9.273969,-10.443866,-10.583709,-8.478267,-9.544945,-9.681758,-0.010699,104.533185,93.098682,83.520641,-10.412576,-10.564270,-10.689003,-9.516881,-9.662860,-9.756610,0.007806,112.504474,96.352528,87.199449,-10.033040,-10.524135,-10.653905,-9.170676,-9.623555,-9.731659,-0.006556
4,1777725486.256745,128.447051,102.860219,94.557064,-9.174332,-10.343562,-10.571546,-9.235475,-10.408579,-10.635020,-0.012282,104.533185,93.098682,83.520641,-10.306895,-10.386933,-10.625320,-10.376054,-10.495401,-10.718650,0.009081,112.504474,96.352528,87.199449,-9.929374,-10.372476,-10.607395,-9.995861,-10.466460,-10.690773,-0.007090
5,1777725486.313602,128.942112,103.286008,94.452538,-8.465070,-9.549585,-9.844553,-8.530497,-9.615316,-9.893688,-0.012393,105.030486,93.360035,83.809066,-9.510126,-9.564966,-9.878047,-9.582752,-9.665302,-9.978910,0.007971,113.001028,96.668693,87.356890,-9.161774,-9.559839,-9.866883,-9.232000,-9.648640,-9.950503,-0.006508
6,1777725486.325808,128.942112,103.286008,94.452538,-7.391101,-8.331683,-8.650626,-7.448316,-8.396010,-8.689792,-0.012022,105.030486,93.360035,83.809066,-8.293008,-8.357324,-8.727892,-8.351842,-8.416335,-8.795110,0.006880,113.001028,96.668693,87.356890,-7.992372,-8.348777,-8.702137,-8.050666,-8.409560,-8.760004,-0.005587
7,1777725486.375237,129.284863,103.939991,95.094481,-6.142607,-6.912443,-7.208090,-6.187064,-6.976807,-7.250584,-0.011220,105.373819,93.051645,83.098078,-6.865703,-6.946206,-7.361806,-6.906146,-6.961446,-7.376959,0.006566,113.344167,96.681094,87.096879,-6.624671,-6.934952,-7.310567,-6.666452,-6.966567,-7.334834,-0.004448
8,1777725486.385147,129.284863,103.939991,95.094481,-4.857147,-5.469487,-5.707852,-4.898926,-5.526023,-5.773090,-0.009961,105.373819,93.051645,83.098078,-5.380343,-5.440343,-5.875727,-5.420762,-5.459983,-5.885707,0.007711,113.344167,96.681094,87.096879,-5.205944,-5.450058,-5.819769,-5.246816,-5.481997,-5.848168,-0.003183
9,1777725486.442155,130.089271,104.329625,96.301183,-3.646352,-4.122868,-4.311628,-3.692617,-4.163714,-4.403134,-0.008170,106.562321,94.770324,84.674500,-3.972274,-3.974212,-4.398392,-4.028454,-4.036508,-4.450117,0.010861,114.404638,97.956758,88.550061,-3.863634,-4.023764,-4.369471,-3.916508,-4.078910,-4.434456,-0.001866
10,1777725486.452298,130.089271,104.329625,96.301183,-2.601801,-2.941803,-3.157893,-2.638584,-2.969258,-3.228592,-0.005774,106.562321,94.770324,84.674500,-2.766660,-2.714807,-3.098128,-2.822595,-2.785088,-3.171871,0.016334,114.404638,97.956758,88.550061,-2.711707,-2.790472,-3.118050,-2.761258,-2.846478,-3.190778,-0.000572
11,1777725486.518354,130.345679,104.934431,95.492867,-1.765022,-1.969259,-2.275981,-1.780698,-1.990768,-2.284586,-0.002812,106.876866,94.764767,84.987298,-1.823666,-1.733744,-2.062131,-1.859674,-1.771026,-2.120843,0.024004,114.699803,98.154655,88.489154,-1.804118,-1.812249,-2.133414,-1.833349,-1.844273,-2.175424,0.000585
12,1777725486.530497,130.345679,104.934431,95.492867,-1.133672,-1.229058,-1.593402,-1.142841,-1.253018,-1.567084,0.000408,106.876866,94.764767,84.987298,-1.145254,-1.014099,-1.303133,-1.162435,-1.028994,-1.329205,0.032962,114.699803,98.154655,88.489154,-1.141394,-1.085752,-1.399889,-1.155904,-1.103669,-1.408498,0.001439
13,1777725486.583025,131.236553,105.704731,96.343424,-0.709590,-0.730302,-1.074848,-0.731558,-0.760068,-1.058755,0.003242,107.281836,95.260559,84.774532,-0.716092,-0.536999,-0.792622,-0.725614,-0.549578,-0.784006,0.041472,115.266741,98.741950,88.630829,-0.713925,-0.601434,-0.886697,-0.727595,-0.619742,-0.875589,0.001813
14,1777725486.593557,131.236553,105.704731,96.343424,-0.503199,-0.472335,-0.728036,-0.538154,-0.496629,-0.745414,0.004849,107.281836,95.260559,84.774532,-0.508789,-0.287252,-0.467019,-0.524508,-0.291230,-0.443422,0.047547,115.266741,98.741950,88.630829,-0.506926,-0.348946,-0.554025,-0.529056,-0.359696,-0.544086,0.001608
15,1777725486.648657,131.666854,105.876232,97.739510,-0.497255,-0.421104,-0.567545,-0.532321,-0.431072,-0.617618,0.004468,107.947602,95.451810,85.607256,-0.493780,-0.228485,-0.289011,-0.519196,-0.219645,-0.275166,0.049705,115.854020,98.926617,89.651341,-0.494938,-0.292691,-0.381855,-0.523571,-0.290121,-0.389317,0.000860
16,1777725486.658674,131.666854,105.876232,97.739510,-0.648797,-0.511962,-0.616846,-0.660031,-0.517934,-0.659186,0.001671,107.947602,95.451810,85.607256,-0.641643,-0.305964,-0.250919,-0.656142,-0.313142,-0.265162,0.047381,115.854020,98.926617,89.651341,-0.644027,-0.374630,-0.372895,-0.657438,-0.381406,-0.396503,-0.000268
17,1777725486.711755,131.277233,106.378132,97.428105,-0.877647,-0.684945,-0.828617,-0.846675,-0.688851,-0.825041,-0.003506,107.836455,96.600077,86.900000,-0.887136,-0.493457,-0.355359,-0.869840,-0.532111,-0.400184,0.040930,115.650048,99.859429,90.409368,-0.883973,-0.557286,-0.513111,-0.862119,-0.584358,-0.541803,-0.001531
18,1777725486.724750,131.277233,106.378132,97.428105,-1.067650,-0.885858,-1.085757,-1.012483,-0.861147,-1.045672,-0.010565,107.836455,96.600077,86.900000,-1.130034,-0.793444,-0.615428,-1.091548,-0.814534,-0.655185,0.031286,115.650048,99.859429,90.409368,-1.109239,-0.824249,-0.772204,-1.065193,-0.830072,-0.785347,-0.002684
19,1777725486.778120,132.475218,106.500282,98.244861,-1.154040,-1.041354,-1.304131,-1.105792,-0.976265,-1.257233,-0.018702,108.880200,95.908781,86.588123,-1.304999,-1.136239,-0.980152,-1.267380,-1.092635,-0.974862,0.019329,116.745206,99.439281,90.473702,-1.254679,-1.104611,-1.088145,-1.213517,-1.053845,-1.068986,-0.003566
20,1777725486.788131,132.475218,106.500282,98.244861,-1.123968,-1.059623,-1.433182,-1.113709,-1.012895,-1.417399,-0.027074,108.880200,95.908781,86.588123,-1.381747,-1.379876,-1.334109,-1.367582,-1.305695,-1.280457,0.005147,116.745206,99.439281,90.473702,-1.295821,-1.273125,-1.367133,-1.282958,-1.208095,-1.326105,-0.004150
21,1777725486.858155,135.027035,109.516474,100.661645,-1.007941,-0.948398,-1.472625,-1.044424,-0.969996,-1.503988,-0.034987,111.081613,97.800810,87.231978,-1.364782,-1.469115,-1.589259,-1.383116,-1.425179,-1.521816,-0.012200,119.063420,101.706031,91.708534,-1.245835,-1.295543,-1.550381,-1.270219,-1.273452,-1.515873,-0.004514
22,1777725486.869705,135.027035,109.516474,100.661645,-0.879160,-0.814601,-1.471544,-0.910981,-0.857486,-1.503940,-0.041287,111.081613,97.800810,87.231978,-1.292722,-1.435303,-1.684979,-1.315342,-1.461434,-1.691002,-0.034276,119.063420,101.706031,91.708534,-1.154868,-1.228402,-1.613834,-1.180555,-1.260118,-1.628648,-0.004769
23,1777725486.920040,135.703840,110.479847,101.401825,-0.737371,-0.686081,-1.410146,-0.718806,-0.690542,-1.392329,-0.044962,112.324768,100.705805,90.754025,-1.162042,-1.338984,-1.656390,-1.155119,-1.423026,-1.758731,-0.065774,120.117792,103.963819,94.303291,-1.020485,-1.121350,-1.574309,-1.009681,-1.178864,-1.636597,-0.004943
24,1777725486.932822,135.703840,110.479847,101.401825,-0.509781,-0.511750,-1.200329,-0.465659,-0.480709,-1.134841,-0.046798,112.324768,100.705805,90.754025,-0.927680,-1.268396,-1.632672,-0.883039,-1.294385,-1.657540,-0.107019,120.117792,103.963819,94.303291,-0.788380,-1.016180,-1.488558,-0.743912,-1.023160,-1.483307,-0.004989
25,1777725486.983853,138.061950,112.340575,103.568262,-0.180667,-0.268914,-0.799041,-0.149626,-0.230476,-0.718343,-0.048209,114.250669,99.842391,88.572492,-0.563635,-1.167516,-1.528266,-0.497169,-1.060349,-1.354741,-0.143433,122.187762,104.008453,93.571082,-0.435979,-0.867982,-1.285191,-0.381322,-0.783725,-1.142608,-0.004927
26,1777725486.996038,138.061950,112.340575,103.568262,0.206563,0.034841,-0.210997,0.219132,0.054554,-0.169808,-0.049517,114.250669,99.842391,88.572492,-0.065376,-0.838183,-1.045510,-0.027826,-0.726138,-0.880122,-0.157658,122.187762,104.008453,93.571082,0.025270,-0.547175,-0.767339,0.054494,-0.465907,-0.643351,-0.004807
27,1777725487.117480,140.685441,115.237257,108.177556,0.598665,0.355227,0.472457,0.593805,0.340921,0.434963,-0.049770,118.451493,105.149413,96.169339,0.490824,-0.300060,-0.234682,0.458972,-0.316953,-0.287044,-0.141024,125.862809,108.512027,100.172078,0.526771,-0.081631,0.001031,0.503916,-0.097662,-0.046375,-0.004604
28,1777725487.129061,140.685441,115.237257,108.177556,0.931353,0.610376,1.071819,0.901565,0.575177,0.993028,-0.046690,118.451493,105.149413,96.169339,0.946558,0.207600,0.504037,0.878068,0.121617,0.356149,-0.092296,125.862809,108.512027,100.172078,0.941489,0.341858,0.693298,0.885900,0.272804,0.568442,-0.004205
29,1777725487.144376,143.142636,117.195297,110.375528,1.143738,0.751180,1.492447,1.087557,0.715033,1.426679,-0.036705,120.505858,106.944471,97.090595,1.219200,0.573469,1.011668,1.160843,0.520745,0.948671,-0.017037,128.051450,110.361413,101.518906,1.194046,0.632706,1.171928,1.136414,0.585507,1.108007,-0.003414
30,1777725487.159778,143.142636,117.195297,110.375528,1.177731,0.760901,1.723049,1.131171,0.741781,1.705642,-0.014986,120.505858,106.944471,97.090595,1.301064,0.813770,1.369797,1.275617,0.816044,1.395924,0.072976,128.051450,110.361413,101.518906,1.259953,0.796147,1.487548,1.227468,0.791290,1.499163,-0.001962
31,1777725487.192330,143.488477,118.209739,111.014678,1.047405,0.654835,1.802713,1.039075,0.655921,1.836064,0.022745,121.343363,108.448634,98.845110,1.224629,0.954634,1.627522,1.230577,0.984400,1.673366,0.160757,128.725068,111.702336,102.901632,1.165554,0.854701,1.685919,1.166743,0.874907,1.727599,0.000505
32,1777725487.204982,143.488477,118.209739,111.014678,0.838347,0.479802,1.818148,0.847600,0.477219,1.846216,0.078228,121.343363,108.448634,98.845110,1.061029,1.029657,1.797516,1.067810,1.032601,1.804075,0.236045,128.725068,111.702336,102.901632,0.986801,0.846372,1.804394,0.994406,0.847473,1.818122,0.004304
33,1777725487.313622,144.485566,119.811819,113.424292,0.607846,0.259077,1.782193,0.618420,0.241210,1.765854,0.151417,122.920433,111.285681,101.775077,0.848943,1.020170,1.841662,0.841897,0.969989,1.793044,0.302757,130.108811,114.127727,105.658149,0.768577,0.766472,1.821839,0.767404,0.727063,1.783981,0.009597
34,1777725487.324551,144.485566,119.811819,113.424292,0.384716,-0.007044,1.633339,0.410085,-0.014559,1.612309,0.239857,122.920433,111.285681,101.775077,0.594641,0.855246,1.670948,0.598739,0.810398,1.627892,0.363229,130.108811,114.127727,105.658149,0.524666,0.567816,1.658412,0.535854,0.535413,1.622698,0.015903
35,1777725487.335983,144.485566,119.811819,113.424292,0.228734,-0.261797,1.386449,0.258171,-0.251960,1.392579,0.333857,122.920433,111.285681,101.775077,0.355710,0.562149,1.293768,0.375201,0.573268,1.304570,0.411209,130.108811,114.127727,105.658149,0.313385,0.287500,1.324662,0.336191,0.298192,1.333906,0.022027
36,1777725487.347790,146.089575,121.041015,114.395885,0.173432,-0.435431,1.098824,0.182222,-0.425061,1.113654,0.410258,124.328676,111.435376,102.077485,0.191099,0.261386,0.806120,0.206777,0.283492,0.827836,0.438578,131.582309,114.637256,106.183618,0.185210,0.029113,0.903688,0.198592,0.047308,0.923109,0.027193
