frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777724916.109241,157.512722,145.268491,135.262722,-0.172706,-0.078990,0.092339,-0.265310,-0.042639,0.243386,-0.206068,133.381995,131.660693,119.376669,-0.326558,-0.392030,-0.408391,-0.793498,-0.919699,-0.997747,0.002185,141.425571,136.196626,124.672020,-0.275274,-0.287683,-0.241481,-0.617435,-0.627345,-0.584036,-0.001497
1,1777724916.188793,157.033617,144.646653,135.451703,-0.272261,-0.027819,0.257405,-0.275372,-0.041347,0.251346,-0.204706,133.052592,132.209114,119.998077,-0.857985,-0.997157,-1.079386,-0.851817,-0.976296,-1.064874,0.001958,141.046267,136.354960,125.149286,-0.662744,-0.674044,-0.633789,-0.659669,-0.664646,-0.626134,-0.001166
2,1777724916.323233,157.035672,144.805931,135.222989,-0.334456,-0.013112,0.327516,-0.302389,-0.031757,0.267191,-0.202330,133.240321,131.884108,119.701606,-1.177238,-1.343713,-1.474693,-1.011166,-1.144094,-1.255884,0.001246,141.172105,136.191382,124.875400,-0.896311,-0.900179,-0.873957,-0.774907,-0.773315,-0.748192,-0.000252
3,1777724916.473038,157.300444,144.692308,135.223225,-0.351786,-0.004371,0.330732,-0.334765,-0.005776,0.278875,-0.198630,133.251564,132.116653,119.619273,-1.332546,-1.494461,-1.657016,-1.222671,-1.386321,-1.517509,-0.000036,141.267857,136.308538,124.820590,-1.005626,-0.997765,-0.994433,-0.926702,-0.926139,-0.918714,0.000996
4,1777724916.544096,157.218878,144.467410,135.548884,-0.339163,0.024752,0.281720,-0.343318,0.042240,0.276417,-0.186163,133.291722,133.230518,120.596488,-1.375409,-1.548257,-1.705045,-1.392540,-1.602435,-1.740242,-0.002011,141.267441,136.976149,125.580620,-1.029994,-1.023921,-1.042790,-1.042800,-1.054210,-1.068022,0.002146
5,1777724916.660733,157.182988,144.959320,134.675000,-0.296207,0.092178,0.205689,-0.284941,0.107842,0.234384,-0.149882,133.271851,131.749873,119.696788,-1.344789,-1.586430,-1.705862,-1.364754,-1.616035,-1.745456,-0.004839,141.242230,136.153022,124.689525,-0.995262,-1.026894,-1.068678,-1.004816,-1.041409,-1.085509,0.002545
6,1777724916.727655,157.182988,144.959320,134.675000,-0.213218,0.185006,0.169313,-0.186159,0.201901,0.213824,-0.110717,133.271851,131.749873,119.696788,-1.269515,-1.579251,-1.672020,-1.279485,-1.579755,-1.712737,-0.007518,141.242230,136.153022,124.689525,-0.917416,-0.991165,-1.058243,-0.915043,-0.985870,-1.070550,0.002907
7,1777724916.849814,157.045508,144.938050,135.010129,-0.078846,0.299209,0.205248,-0.068369,0.300029,0.215823,-0.072193,132.873964,131.768977,120.180220,-1.155318,-1.500812,-1.619458,-1.146459,-1.481365,-1.627273,-0.009477,140.931146,136.158668,125.123523,-0.796494,-0.900805,-1.011222,-0.787095,-0.887567,-1.012908,0.003362
8,1777724916.913566,158.255054,145.985104,135.876121,0.078873,0.409844,0.269057,0.047827,0.377324,0.238096,-0.035378,132.982465,131.138281,118.150608,-0.990494,-1.347014,-1.529835,-0.976521,-1.309948,-1.471214,-0.010329,141.406662,136.087222,124.059112,-0.634039,-0.761395,-0.930205,-0.635072,-0.747524,-0.901444,0.003711
9,1777724916.977130,158.255054,145.985104,135.876121,0.183872,0.451953,0.295165,0.148758,0.420675,0.273625,-0.001887,132.982465,131.138281,118.150608,-0.774646,-1.082205,-1.285043,-0.779432,-1.068614,-1.233220,-0.009755,141.406662,136.087222,124.059112,-0.455140,-0.570819,-0.758307,-0.470035,-0.572185,-0.730938,0.003640
10,1777724917.038100,157.574112,145.204882,134.947633,0.223402,0.423902,0.292937,0.227801,0.429939,0.307636,0.025755,133.839222,132.911665,120.595689,-0.542616,-0.749252,-0.902608,-0.558303,-0.774157,-0.913367,-0.007379,141.750852,137.009404,125.379670,-0.287276,-0.358201,-0.504093,-0.296269,-0.372792,-0.506366,0.003490
11,1777724917.102087,157.615680,145.315828,135.564497,0.251073,0.383936,0.312361,0.275769,0.406286,0.328143,0.047266,133.211665,132.029670,119.614201,-0.328532,-0.439481,-0.519203,-0.322266,-0.445286,-0.526874,-0.002990,141.346337,136.458390,124.930966,-0.135330,-0.165009,-0.242015,-0.122921,-0.161429,-0.241868,0.004047
12,1777724917.162910,157.615680,145.315828,135.564497,0.293557,0.355947,0.345756,0.294977,0.358930,0.337333,0.063836,133.211665,132.029670,119.614201,-0.109371,-0.143797,-0.143257,-0.089391,-0.116936,-0.126973,0.003430,141.346337,136.458390,124.930966,0.024938,0.022785,0.019747,0.038732,0.041686,0.027796,0.005999
13,1777724917.233721,158.330473,145.696302,135.796598,0.327151,0.323427,0.363491,0.306406,0.308769,0.347293,0.076259,133.867540,132.701860,120.982164,0.124889,0.158206,0.224084,0.125130,0.160518,0.205542,0.011882,142.021851,137.033340,125.920309,0.192310,0.213280,0.270553,0.185556,0.209935,0.252792,0.009828
14,1777724917.285321,158.097337,145.543491,135.649260,0.310680,0.263330,0.352871,0.313944,0.263067,0.357643,0.085025,134.398732,133.240659,120.788588,0.320057,0.413313,0.506249,0.305629,0.364718,0.438518,0.022351,142.298267,137.341603,125.742146,0.316932,0.363319,0.455123,0.308401,0.330834,0.411560,0.015685
15,1777724917.473222,156.606489,144.578330,134.805746,0.288854,0.204424,0.342951,0.306114,0.217252,0.359537,0.090230,133.824687,134.475873,122.723485,0.447042,0.529348,0.614250,0.432142,0.492181,0.580682,0.034673,141.418621,137.843359,126.750905,0.394313,0.421040,0.523817,0.390132,0.400538,0.506967,0.023192
16,1777724917.700403,158.840993,145.737592,135.900429,0.295019,0.174773,0.354355,0.284191,0.174903,0.354968,0.091682,134.610867,131.686798,118.551966,0.511135,0.513575,0.581883,0.489631,0.528421,0.628211,0.048273,142.687576,136.370396,124.334787,0.439096,0.400641,0.506040,0.421151,0.410582,0.537130,0.031124
17,1777724917.878245,157.490898,145.025543,135.327804,0.266888,0.144478,0.350849,0.259597,0.145538,0.347334,0.089223,134.521739,133.705686,121.453428,0.489958,0.463815,0.549764,0.476399,0.464978,0.573245,0.061429,142.178126,137.478971,126.078220,0.415602,0.357369,0.483459,0.404132,0.358498,0.497942,0.037566
