frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
0,1777725141.844173,150.341178,138.301350,127.976465,-0.214132,-0.223671,-0.319101,-0.501610,-0.487758,-0.577799,0.020536,129.468484,130.478958,119.365035,-0.160866,0.058779,0.232363,-0.417187,-0.166863,0.040259,-0.108691,136.426048,133.086422,122.235512,-0.178621,-0.035371,0.048542,-0.445328,-0.273828,-0.165760,-0.084548
1,1777725141.985049,149.679888,138.054477,128.496215,-0.516515,-0.510389,-0.598566,-0.534931,-0.514808,-0.607308,0.021146,129.403133,130.429644,119.647571,-0.440850,-0.208348,-0.013856,-0.439800,-0.211600,-0.012118,-0.105625,136.162051,132.971255,122.597119,-0.466072,-0.309028,-0.208760,-0.471510,-0.312669,-0.210514,-0.085833
2,1777725142.113169,148.929683,137.571429,127.462698,-0.738946,-0.694209,-0.777740,-0.624960,-0.589762,-0.685074,0.022649,129.151064,131.560065,120.908099,-0.593925,-0.372271,-0.169228,-0.498882,-0.324401,-0.146590,-0.096854,135.743937,133.563853,123.092965,-0.642265,-0.479584,-0.372065,-0.540908,-0.412855,-0.326085,-0.089169
3,1777725142.235239,149.096960,137.829120,128.173760,-0.823956,-0.759752,-0.843210,-0.734102,-0.686758,-0.772900,0.024147,129.362811,130.217093,119.651743,-0.633672,-0.501979,-0.335032,-0.565733,-0.451066,-0.307677,-0.083160,135.940860,132.754435,122.492415,-0.697100,-0.587903,-0.504425,-0.621856,-0.529630,-0.462751,-0.092654
4,1777725142.367230,149.737515,138.235275,127.980753,-0.791759,-0.739714,-0.816052,-0.794638,-0.752535,-0.806913,0.024420,129.333302,129.735417,118.437476,-0.590515,-0.561450,-0.468275,-0.589062,-0.518713,-0.420918,-0.064234,136.134706,132.568703,121.618569,-0.657596,-0.620871,-0.584201,-0.657587,-0.596654,-0.549583,-0.091954
5,1777725142.450624,149.737515,138.235275,127.980753,-0.703646,-0.686355,-0.718651,-0.721288,-0.706128,-0.707160,0.022352,129.333302,129.735417,118.437476,-0.493170,-0.503563,-0.481193,-0.493747,-0.443812,-0.399685,-0.036820,136.134706,132.568703,121.618569,-0.563329,-0.564494,-0.560346,-0.569594,-0.531251,-0.502177,-0.078813
6,1777725142.521211,149.817488,138.173552,128.374647,-0.591031,-0.621856,-0.565236,-0.598258,-0.626897,-0.563978,0.017618,129.527926,129.577869,118.014773,-0.368183,-0.339916,-0.359025,-0.374654,-0.327191,-0.331780,-0.009989,136.291113,132.443097,121.468065,-0.442466,-0.433896,-0.427762,-0.449189,-0.427093,-0.409180,-0.061229
7,1777725142.583974,149.847268,138.061718,128.803160,-0.462178,-0.543247,-0.402689,-0.453895,-0.531742,-0.415775,0.010767,129.585095,131.199110,119.994624,-0.249418,-0.150792,-0.186091,-0.261371,-0.213256,-0.253183,0.013244,136.339152,133.486646,122.930802,-0.320338,-0.281610,-0.258290,-0.325546,-0.319418,-0.307381,-0.039441
8,1777725142.646919,149.847268,138.061718,128.803160,-0.319858,-0.441786,-0.275391,-0.310296,-0.432279,-0.298170,0.003190,129.585095,131.199110,119.994624,-0.163067,-0.078085,-0.131098,-0.176837,-0.149152,-0.211424,0.030522,136.339152,133.486646,122.930802,-0.215330,-0.199319,-0.179196,-0.221323,-0.243528,-0.240339,-0.013959
9,1777725142.709564,150.305957,138.544384,129.222333,-0.176374,-0.328895,-0.209521,-0.187476,-0.337629,-0.238038,-0.003616,129.578059,129.726458,118.145921,-0.123419,-0.154817,-0.236887,-0.137263,-0.168413,-0.249681,0.040526,136.487358,132.665767,121.838058,-0.141070,-0.212843,-0.227765,-0.154001,-0.224818,-0.245800,0.013626
